"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669866602969924E9,"2022-12-01 11:50:02.970 UTC+08:00"
"PAUSE",2.115586646245792E2,1.669866814524830E9,"2022-12-01 11:53:34.525 UTC+08:00"
