"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669864840531709E9,"2022-12-01 11:20:40.532 UTC+08:00"
"PAUSE",2.570448423335329E2,1.669865097571991E9,"2022-12-01 11:24:57.572 UTC+08:00"
