"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669864208913890E9,"2022-12-01 11:10:08.914 UTC+08:00"
"PAUSE",1.905729336249642E2,1.669864399483443E9,"2022-12-01 11:13:19.483 UTC+08:00"
