"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669867128211250E9,"2022-12-01 11:58:48.211 UTC+08:00"
"PAUSE",1.864955368335359E2,1.669867314703478E9,"2022-12-01 12:01:54.703 UTC+08:00"
