"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.107629202E-2,2.806192812E-1,2.643397010E-1,1.306636351E-1
3.099329164E-2,5.488477278E-1,1.196434426E-1,-3.696200430E-2
5.091029173E-2,6.564370805E-1,5.068801414E-2,-1.763578713E-1
7.082729181E-2,5.916841373E-1,-1.455794072E-2,-3.413300443E-1
9.074429190E-2,5.023167551E-1,-7.431193482E-2,-3.434098989E-1
1.106612920E-1,4.041604230E-1,-7.285431532E-2,-3.702515423E-1
1.305782916E-1,3.815299442E-1,-2.884718360E-2,-4.087080950E-1
1.504952917E-1,4.226844022E-1,6.921093352E-3,-4.925916660E-1
1.704122918E-1,5.334023076E-1,-3.588728607E-3,-5.087445992E-1
1.903292919E-1,5.841374284E-1,5.446476728E-2,-5.068641347E-1
2.102462919E-1,6.444084808E-1,1.341099840E-1,-5.116652834E-1
2.301622918E-1,6.989422452E-1,1.401460648E-1,-5.467421454E-1
2.500792919E-1,7.962527776E-1,6.976766154E-2,-5.971229249E-1
2.699962920E-1,8.134760436E-1,4.880407780E-2,-6.186050105E-1
2.899132920E-1,8.063596898E-1,7.609624922E-2,-6.596857935E-1
3.098302917E-1,7.722607747E-1,1.352478522E-1,-6.937838316E-1
3.297472917E-1,-7.077674478E-2,3.926792689E-1,-3.854332530E-1
3.496642918E-1,-9.018160701E-3,2.790952045E-1,-4.931149918E-1
3.695812919E-1,1.111418286E-1,2.926550438E-1,-6.406525218E-1
3.894982920E-1,2.247353947E-1,3.910081346E-1,-7.044070530E-1
4.094152916E-1,2.458283481E-1,6.174070622E-1,-6.466810012E-1
4.293322917E-1,2.763528603E-1,7.880139045E-1,-6.821560585E-1
4.492492918E-1,3.490770203E-1,8.120743199E-1,-5.858015460E-1
4.691652916E-1,3.210223719E-1,7.396175238E-1,-4.061949617E-1
4.890822917E-1,2.252201289E-1,6.240826821E-1,-1.020988172E-1
5.089992918E-1,7.545919508E-2,3.944413273E-1,4.182659537E-1
5.289162919E-1,-2.026060224E-4,2.416972902E-1,1.106276829E0
5.488332920E-1,1.358705807E-1,7.778697163E-2,1.481324843E0
5.687502916E-1,6.247165203E-2,-8.728942797E-2,2.254495736E0
5.886672917E-1,-2.757041118E-1,-1.034264275E-1,2.901852091E0
6.085842918E-1,-4.242230970E-1,-3.400769860E-2,3.253532876E0
6.285012919E-1,-5.219438115E-1,1.301420635E-1,3.201389161E0
6.484182919E-1,-9.374881786E-1,1.537634991E-1,2.699201045E0
6.683352920E-1,-1.564440674E0,-1.880062558E-1,2.168615926E0
6.882522916E-1,-1.767263628E0,-7.558626969E-1,1.337269329E0
7.081692917E-1,-1.919747318E0,-1.286755087E0,9.685725617E-1
7.280855416E-1,-2.138952416E0,-1.471874280E0,5.779089743E-1
7.480025417E-1,-2.519530726E0,-1.268428159E0,1.479444963E-1
7.679195418E-1,-2.849104943E0,-8.269046129E-1,-5.999009371E-2
7.878365419E-1,-2.886386790E0,-4.618872057E-1,-4.967963988E-1
8.077535420E-1,-2.591441538E0,-3.344722836E-1,-8.108123446E-1
8.276705421E-1,-2.284919384E0,-3.181897249E-1,-9.106898046E-1
8.475875417E-1,-2.026216344E0,-3.708106823E-1,-1.058005725E0
8.675045418E-1,-1.674487612E0,-4.293306398E-1,-1.319166934E0
8.874215418E-1,-1.274119693E0,-5.757050125E-1,-1.442299941E0
9.073385419E-1,-8.219819883E-1,-9.038991407E-1,-1.271515051E0
9.272555420E-1,-4.960868391E-1,-1.024004897E0,-9.635328466E-1
9.471725416E-1,-7.846688586E-1,-5.292927748E-1,-7.974783540E-1
9.670885419E-1,-7.300377381E-1,-9.771353705E-1,-7.022342277E-1
9.870055420E-1,-6.913402802E-1,-1.027644643E0,-7.507199246E-1
1.006922542E0,-7.061658955E-1,-9.222957967E-1,-5.999418676E-1
