"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.016708091E-3,3.349584503E0,2.483335876E-1,9.466015320E0
1.890029199E-2,3.604504395E0,2.784210205E-2,9.339827728E0
3.881729161E-2,3.855831757E0,-2.679428101E-2,9.170978851E0
5.873429170E-2,3.866459656E0,-9.774673462E-2,8.980724487E0
7.865129178E-2,3.813769226E0,-1.606159973E-1,8.896749115E0
9.856729163E-2,3.737727356E0,-1.945953369E-1,8.898545380E0
1.184842917E-1,3.686384125E0,-1.589694214E-1,8.832682343E0
1.384012918E-1,3.703298950E0,-9.160949707E-2,8.790170746E0
1.583182919E-1,3.789669342E0,-7.289840698E-2,8.715476074E0
1.782352920E-1,3.886517944E0,-3.742218018E-2,8.728798370E0
1.981522921E-1,3.938459930E0,5.613327026E-2,8.721912689E0
2.180692917E-1,3.974085846E0,1.395098877E-1,8.699758759E0
2.379862918E-1,4.056714020E0,1.181044006E-1,8.655899963E0
2.579032918E-1,4.120331726E0,5.089416504E-2,8.641380157E0
2.778202919E-1,4.108805695E0,6.960525513E-2,8.598718872E0
2.977372920E-1,4.097279663E0,1.028361511E-1,8.553213501E0
3.176542916E-1,4.066892853E0,1.621128845E-1,8.525221710E0
3.375712917E-1,4.126169586E0,1.839674377E-1,8.458460541E0
3.574872920E-1,4.266727295E0,2.095642090E-1,8.284821625E0
3.774042916E-1,4.419409790E0,2.737806702E-1,8.152796173E0
3.973212917E-1,4.496349792E0,4.457730103E-1,8.181985474E0
4.172382918E-1,4.532724152E0,6.780899048E-1,8.155041504E0
4.371552919E-1,4.604724426E0,7.915539551E-1,8.167166290E0
4.570722920E-1,4.707560577E0,7.265890503E-1,8.289461975E0
4.769892916E-1,4.659809875E0,6.451583862E-1,8.489146729E0
4.969062917E-1,4.629572754E0,5.117857361E-1,8.848399658E0
5.168232918E-1,4.523593140E0,3.194357300E-1,9.516161041E0
5.367402919E-1,4.614454193E0,1.106199646E-1,9.984087982E0
5.566572919E-1,4.808001709E0,-7.229965210E-2,1.048045578E1
5.765742920E-1,4.568948822E0,-2.052232361E-1,1.126422592E1
5.964912917E-1,4.349954224E0,-1.546284485E-1,1.170625671E1
6.164072920E-1,4.289779358E0,7.933502197E-3,1.187256088E1
6.363242920E-1,4.052373047E0,1.794767761E-1,1.155881332E1
6.562412917E-1,3.471730499E0,8.277786255E-2,1.100855759E1
6.761582918E-1,3.122207336E0,-4.354444885E-1,1.032941986E1
6.960752918E-1,2.952610016E0,-9.440867615E-1,9.688602448E0
7.159922919E-1,2.838098145E0,-1.320404205E0,9.314530334E0
7.359095416E-1,2.591261444E0,-1.233435059E0,8.825048218E0
7.558265417E-1,2.246678009E0,-8.333171082E-1,8.512198792E0
7.757435418E-1,2.051783295E0,-3.332070923E-1,8.198301544E0
7.956605419E-1,2.223925323E0,-5.433700562E-2,7.751480713E0
8.155775419E-1,2.541265411E0,1.481918335E-2,7.593708801E0
8.354935418E-1,2.782413940E0,1.047821045E-3,7.483238525E0
8.554105419E-1,3.046015778E0,-6.616241455E-2,7.309898987E0
8.753275420E-1,3.388204193E0,-1.320254517E-1,7.090155945E0
8.952445420E-1,3.743415527E0,-4.090992737E-1,7.147337036E0
9.151615417E-1,4.098776550E0,-6.999444580E-1,7.478747864E0
9.350785417E-1,4.055666199E0,-4.935237122E-1,7.777227173E0
9.549955418E-1,3.725602570E0,-4.144880676E-1,8.018675079E0
9.749125419E-1,3.696712646E0,-6.935078430E-1,8.050259399E0
9.948295420E-1,3.545826416E0,-5.981561279E-1,8.055797882E0
1.014746542E0,3.483555908E0,-6.015989685E-1,8.660839691E0
1.034663542E0,3.543132019E0,-8.390052795E-1,9.065298615E0
1.054580542E0,3.762425995E0,-8.515791321E-1,9.397008820E0
1.074497542E0,3.853736115E0,-7.774832153E-1,9.807305603E0
1.094413542E0,3.918850708E0,-7.303312683E-1,1.014275803E1
1.114330542E0,4.045786743E0,-6.676116943E-1,1.023810974E1
1.134247542E0,4.214036865E0,-7.176077271E-1,1.051054321E1
1.154164542E0,4.407584381E0,-7.186555481E-1,1.083342178E1
1.174081542E0,4.609364777E0,-5.813909912E-1,1.116258728E1
1.193998542E0,4.824766846E0,-4.204756165E-1,1.152663025E1
1.213915542E0,4.905000000E0,-4.415817261E-2,1.196761322E1
1.233832542E0,4.050876160E0,2.951861572E-1,1.184067719E1
1.253749542E0,2.858455811E0,2.688409424E-1,1.127320724E1
1.273666542E0,2.100432129E0,2.574645996E-1,1.137798935E1
1.293583542E0,1.257385254E0,6.201603699E-1,1.159174484E1
1.313499542E0,6.819818115E-1,1.233285370E0,1.170431076E1
