"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.890429735E-1,3.211699167E1,1.189507776E2,1.719102097E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.923087001E0,3.211702130E1,1.189508547E2,1.732125735E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.437132096E1,3.211699538E1,1.189508925E2,1.744001102E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.079051602E1,3.211712854E1,1.189510838E2,1.746766400E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.719878304E1,3.211719031E1,1.189511592E2,1.769390726E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.358742595E1,3.211717322E1,1.189512617E2,1.765825534E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.998878598E1,3.211723439E1,1.189515006E2,1.771594334E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.911218500E1,3.211729802E1,1.189516624E2,1.815883040E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.556720996E1,3.211721520E1,1.189517656E2,1.834439039E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.200029898E1,3.211715591E1,1.189517575E2,1.880800605E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.840559494E1,3.211728504E1,1.189518687E2,1.903413224E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.482076502E1,3.211734101E1,1.189518360E2,1.903374863E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.254408598E1,3.211740752E1,1.189518937E2,2.030860734E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.895749402E1,3.211743377E1,1.189519861E2,2.091371799E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
9.542274094E1,3.211751300E1,1.189521220E2,2.121966720E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.018868420E2,3.211761375E1,1.189522664E2,2.137639856E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.082811360E2,3.211767116E1,1.189522924E2,2.145628285E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.146972820E2,3.211782535E1,1.189524651E2,2.149834347E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.212319020E2,3.211784397E1,1.189524639E2,2.151931715E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.277540820E2,3.211790078E1,1.189525370E2,2.153075266E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.342138160E2,3.211793187E1,1.189525463E2,2.153621697E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.406634040E2,3.211792470E1,1.189526190E2,2.153948927E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.467199850E2,3.211791085E1,1.189526442E2,2.154094625E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.531377699E2,3.211795641E1,1.189527179E2,2.154200840E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.595586780E2,3.211805138E1,1.189528094E2,2.154268980E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.659705000E2,3.211812083E1,1.189529066E2,2.154320765E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.724203840E2,3.211812077E1,1.189529439E2,2.154332781E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.790243520E2,3.211811965E1,1.189529943E2,2.154363871E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.854514329E2,3.211815955E1,1.189529857E2,2.154351163E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
