"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.497835958E0,5.882797422E-1,3.928641871E-2,9.831449926E-2
1.517752125E0,7.524183945E-1,3.473208822E-1,8.268126655E-1
1.537668125E0,8.574704942E-1,8.474123331E-1,1.549990450E0
1.557584125E0,6.919707562E-1,1.538945206E0,2.240202218E0
1.577500125E0,5.023857522E-1,1.915102290E0,2.625766448E0
1.597416125E0,2.696054658E-1,1.743962620E0,2.645547579E0
1.617332125E0,4.784678628E-1,1.808851950E0,2.750500422E0
1.637248125E0,7.320480108E-2,1.869910914E0,3.019332594E0
1.657164125E0,-8.500667498E-1,1.685003975E0,2.521590700E0
1.677080125E0,-1.817468845E0,1.514395671E0,2.481929621E0
1.696996125E0,-2.350779644E0,1.524046647E0,2.151295304E0
1.716912125E0,-2.311078950E0,1.597900196E0,1.621349285E0
1.736828125E0,-1.832229118E0,1.593397256E0,1.173298784E0
1.756744125E0,-1.244420515E0,1.401053389E0,3.615918159E-1
1.776660125E0,-7.072780359E-1,1.020345417E0,-5.546078199E-1
1.796576125E0,-2.381047609E-1,6.524984691E-1,-1.438693378E0
1.816492125E0,5.601837248E-2,3.402917250E-1,-2.292148882E0
1.836408125E0,2.558743031E-1,1.232487079E-1,-2.982536650E0
1.856324125E0,3.127066080E-1,-6.489831962E-2,-3.434764402E0
1.876240125E0,3.135679029E-1,-1.928967939E-1,-3.477728573E0
1.896156125E0,3.243709262E-1,-2.020253208E-1,-3.243990220E0
1.916073125E0,4.738007614E-1,-9.256281249E-2,-2.951662767E0
1.935989125E0,5.239090607E-1,1.080945522E-1,-2.350105314E0
1.955904125E0,4.240299927E-1,4.530652922E-1,-1.740737150E0
1.975821125E0,4.443878049E-1,6.384052907E-1,-1.205010574E0
1.995737125E0,7.552338289E-1,7.158848450E-1,-6.954695839E-1
2.015653125E0,1.230879825E0,5.915136179E-1,-1.335270166E-1
2.035569125E0,1.571501041E0,4.121099319E-1,3.684453374E-1
2.055485125E0,1.773745121E0,3.950191784E-1,7.496878910E-1
2.075401125E0,2.048414714E0,4.100826292E-1,9.618459249E-1
2.095317125E0,2.276230422E0,3.520774459E-1,1.246076154E0
2.115233125E0,2.538459040E0,2.888205128E-1,1.519633461E0
2.135149125E0,2.718324949E0,3.025472536E-1,1.442598733E0
2.155065125E0,2.752279730E0,9.158811819E-2,1.373942481E0
2.174981125E0,2.369777101E0,-1.089020892E-1,1.776153735E0
2.194897125E0,1.084524748E0,-1.156263781E-1,2.346552545E0
2.214813125E0,-7.774446237E-1,6.569248114E-2,2.712577720E0
2.234729125E0,-2.376036984E0,4.117961192E-1,2.780168025E0
2.254645125E0,-3.160462160E0,6.054155923E-1,2.451407155E0
2.274561125E0,-3.051318617E0,6.340964775E-1,2.121718917E0
2.294477125E0,-2.296133467E0,5.455983569E-1,1.515343943E0
2.314393125E0,-1.376776481E0,4.069489967E-1,6.371056008E-1
2.334309125E0,-7.382349497E-1,2.751031642E-1,-3.019771135E-1
2.354225125E0,-1.728919342E-1,1.432819265E-1,-1.142681009E0
2.374141125E0,3.524996880E-1,8.068233009E-2,-1.842606171E0
2.394057125E0,5.613778724E-1,-7.481987514E-3,-2.225031032E0
2.413973125E0,5.513130601E-1,-1.019008159E-1,-2.317196015E0
2.433889125E0,5.172049356E-1,-2.862885771E-1,-2.382125836E0
2.453805125E0,6.312291491E-1,-5.762942657E-1,-2.274031869E0
2.473721125E0,9.572190231E-1,-9.433469425E-1,-2.021359647E0
2.493637125E0,1.090196109E0,-1.188151151E0,-1.619368249E0
2.513553125E0,8.497163554E-1,-1.165499841E0,-1.201225086E0
2.533470000E0,5.560322016E-1,-1.095469713E0,-9.893056190E-1
2.553386000E0,3.582879929E-1,-9.551845575E-1,-8.314740658E-1
2.573302000E0,3.002919459E-1,-7.447632929E-1,-6.251579851E-1
2.593218000E0,3.400190985E-1,-5.420106516E-1,-1.734202302E-1
2.613134000E0,1.215707763E-1,-4.443025817E-1,4.304082817E-1
2.633050000E0,-2.555528525E-1,-3.045413368E-1,9.348949385E-1
2.652966000E0,-5.882760876E-1,-5.423402153E-2,1.322143167E0
2.672882000E0,-6.000172967E-1,2.092035089E-1,1.500572707E0
2.692798000E0,-3.501613864E-1,4.916749322E-1,1.655191800E0
2.712714000E0,-3.905595070E-1,8.348251782E-1,1.761640361E0
2.732630000E0,-5.021556643E-1,1.099399334E0,1.768237190E0
2.752546000E0,-7.902136271E-1,1.076297424E0,1.877488906E0
2.772462000E0,-1.118184976E0,1.267009479E0,1.599566068E0
2.792378000E0,-1.236874098E0,1.386985573E0,1.388475151E0
2.812294000E0,-1.161523223E0,1.408679035E0,1.394370314E0
2.832210000E0,-9.847252026E-1,1.367364948E0,1.133751726E0
2.852126000E0,-1.153188748E0,1.243801587E0,8.274967897E-1
2.872043000E0,-1.395665765E0,1.040114999E0,5.225118685E-1
2.891959000E0,-1.262334922E0,7.427283888E-1,-1.788020074E-2
2.911875000E0,-8.707393614E-1,4.077232046E-1,-7.468935066E-1
2.931791000E0,-2.422809885E-1,1.364483221E-1,-1.614292865E0
2.951707000E0,4.488263532E-1,-7.615428284E-2,-2.296160071E0
2.971623000E0,9.902067480E-1,-2.012751961E-1,-2.695937129E0
2.991539000E0,1.258449740E0,-3.561805102E-1,-2.846584793E0
3.011455000E0,1.306108494E0,-3.971300232E-1,-2.760264103E0
3.031371000E0,1.175690588E0,-3.453311478E-1,-2.600977178E0
3.051287000E0,1.189701394E0,-3.636047930E-1,-2.354802382E0
3.071203000E0,1.281616700E0,-3.900681947E-1,-1.903772140E0
3.091119000E0,1.451054977E0,-4.850901634E-1,-1.524562663E0
3.111035000E0,1.676068114E0,-5.831577274E-1,-8.776197070E-1
3.130951000E0,1.518725242E0,-5.667399884E-1,-1.022736490E-1
3.150867000E0,1.284717333E0,-4.892454506E-1,3.074758351E-1
3.170783000E0,1.162157646E0,-5.595183847E-1,7.760494781E-1
3.190699000E0,1.111414193E0,-8.181872184E-1,1.680721328E0
3.210615000E0,1.246205524E0,-1.031422163E0,2.563778361E0
3.230531000E0,1.600350326E0,-9.071158402E-1,2.973769335E0
3.250447000E0,1.527765768E0,-4.928000827E-1,3.583814022E0
3.270363000E0,3.345040778E-1,-2.643299617E-2,3.966945226E0
3.290279000E0,-1.181459305E0,3.458892645E-1,3.692493296E0
3.310195000E0,-1.430600539E0,1.566431066E-1,3.179276746E0
3.330111000E0,-1.031819847E0,-6.094363571E-1,2.723059439E0
3.350027000E0,-7.482346386E-1,-1.143218807E0,1.947916279E0
3.369943000E0,-5.179758909E-1,-1.143406210E0,8.001002455E-1
3.389859000E0,-5.424527011E-1,-1.054341933E0,-2.127953804E-1
3.409775000E0,-7.683319574E-1,-9.794923832E-1,-6.825723803E-1
