"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.135499708E-3,-3.466192017E2,7.311529541E2,-2.217720032E1
2.405150002E-2,-3.463883667E2,7.313348999E2,-2.205293274E1
4.396749986E-2,-3.466610107E2,7.313551025E2,-2.165853882E1
6.388349971E-2,-3.468012695E2,7.315213623E2,-2.134312439E1
8.379950002E-2,-3.476668701E2,7.316955566E2,-2.088735962E1
1.037154999E-1,-3.480716553E2,7.321205444E2,-2.051173401E1
1.236314997E-1,-3.482507324E2,7.320798950E2,-2.017556763E1
1.435475000E-1,-3.483843384E2,7.322642822E2,-1.982731628E1
1.634634999E-1,-3.484313354E2,7.325134888E2,-1.959825134E1
1.833794997E-1,-3.490490112E2,7.325401611E2,-1.932086182E1
2.032955000E-1,-3.490662231E2,7.329495239E2,-1.992201233E1
2.232114999E-1,-3.498117676E2,7.333228760E2,-1.996983337E1
2.431274997E-1,-3.499829712E2,7.333106689E2,-1.923507690E1
2.630435000E-1,-3.502333984E2,7.333397827E2,-1.975827026E1
2.829594999E-1,-3.504491577E2,7.328641968E2,-1.966058350E1
3.028754997E-1,-3.504719238E2,7.329757690E2,-1.940739441E1
3.227915000E-1,-3.501498413E2,7.334051514E2,-1.960256958E1
3.427074999E-1,-3.506911011E2,7.333082275E2,-1.907823181E1
3.626234997E-1,-3.509441528E2,7.334491577E2,-1.961471558E1
3.825395000E-1,-3.505209351E2,7.333412476E2,-1.993179321E1
4.024554999E-1,-3.509909058E2,7.330944214E2,-1.912306213E1
4.223714997E-1,-3.508552856E2,7.331237183E2,-1.949044800E1
4.422875000E-1,-3.509251709E2,7.330340576E2,-1.897154236E1
4.622034999E-1,-3.508975830E2,7.327924194E2,-1.959394836E1
4.821194997E-1,-3.503513794E2,7.325726318E2,-1.984197998E1
5.020355000E-1,-3.501909180E2,7.326148682E2,-1.983242798E1
5.219509583E-1,-3.498216553E2,7.327153320E2,-2.028535461E1
5.418669581E-1,-3.493836060E2,7.328642578E2,-1.986949158E1
5.617829580E-1,-3.492587280E2,7.326351318E2,-2.068672180E1
5.816989583E-1,-3.492378540E2,7.322077026E2,-2.070083618E1
6.016149581E-1,-3.488598022E2,7.315866699E2,-2.081924438E1
6.215309580E-1,-3.481495972E2,7.309965820E2,-2.088552856E1
6.414469583E-1,-3.481843262E2,7.302457275E2,-2.076025391E1
6.613629581E-1,-3.474608154E2,7.296514893E2,-2.095520020E1
6.812789580E-1,-3.474923706E2,7.302218018E2,-2.090473938E1
7.011949583E-1,-3.475505371E2,7.302241821E2,-2.119139099E1
7.211109581E-1,-3.475090942E2,7.305911255E2,-2.136930847E1
7.410279582E-1,-3.476624756E2,7.300748291E2,-2.095195007E1
7.609439581E-1,-3.467898560E2,7.300620728E2,-2.154449463E1
7.808599579E-1,-3.471357422E2,7.298823853E2,-2.149414062E1
8.007759582E-1,-3.465095825E2,7.290386353E2,-2.150698853E1
8.206919581E-1,-3.459938354E2,7.290531616E2,-2.216250610E1
8.406079579E-1,-3.462777710E2,7.281776123E2,-2.197247314E1
8.605239582E-1,-3.460516357E2,7.276751709E2,-2.249226379E1
