"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.135499708E-3,-5.520355701E-1,-2.729064524E-1,-5.101420879E-1
2.405150002E-2,-4.934053719E-1,1.239193603E-2,-4.919625223E-1
4.396749986E-2,-5.038991570E-1,-4.936484620E-3,-5.276294947E-1
6.388349971E-2,-5.108826756E-1,-2.408060580E-1,-5.560808778E-1
8.379950002E-2,-4.240031838E-1,-3.827577233E-1,-5.557935834E-1
1.037154999E-1,-2.287373543E-1,-2.792180181E-1,-5.924119949E-1
1.236314997E-1,-1.238121316E-1,-6.898472458E-2,-7.178117633E-1
1.435475000E-1,-1.488124132E-1,1.078284159E-1,-8.683311343E-1
1.634634999E-1,-2.010668516E-1,2.098261267E-1,-9.562584758E-1
1.833794997E-1,-2.078650147E-1,2.224870622E-1,-9.706785083E-1
2.032955000E-1,-1.820363998E-1,1.763298213E-1,-9.307225347E-1
2.232114999E-1,-1.400305182E-1,1.290490329E-1,-8.547402024E-1
2.431274997E-1,-9.272652864E-2,9.843899310E-2,-7.553750873E-1
2.630435000E-1,-6.174995750E-2,8.194866031E-2,-6.617919803E-1
2.829594999E-1,-4.300330579E-2,6.192524731E-2,-5.914033055E-1
3.028754997E-1,-3.639737144E-2,3.948828578E-2,-5.180284381E-1
3.227915000E-1,-3.658293933E-2,4.409609735E-2,-4.364304245E-1
3.427074999E-1,-1.747279987E-2,4.708028585E-2,-3.533781469E-1
3.626234997E-1,2.617456950E-2,5.409081280E-2,-2.542128265E-1
3.825395000E-1,8.833771199E-2,6.756586023E-3,-1.461864412E-1
4.024554999E-1,1.557377875E-1,-4.423838109E-2,-5.463084206E-2
4.223714997E-1,2.466242462E-1,-5.508435518E-2,1.354288124E-2
4.422875000E-1,3.396476507E-1,7.003760897E-3,8.881808072E-2
4.622034999E-1,3.946937323E-1,1.074906513E-1,2.083124667E-1
4.821194997E-1,3.627263606E-1,1.435832679E-1,3.638417423E-1
5.020355000E-1,2.513252795E-1,4.930139706E-2,5.115645528E-1
5.219509583E-1,1.719230860E-1,-1.734581590E-1,6.383757591E-1
5.418669581E-1,2.315316945E-1,-3.236152232E-1,7.429568172E-1
5.617829580E-1,3.867228031E-1,-3.015050292E-1,8.138042688E-1
5.816989583E-1,4.061832428E-1,-1.193177179E-1,7.713358402E-1
6.016149581E-1,3.271104097E-1,9.814533591E-2,6.370167732E-1
6.215309580E-1,1.736821681E-1,1.544156969E-1,4.482635260E-1
6.414469583E-1,8.211922646E-2,8.688645810E-2,2.473032475E-1
6.613629581E-1,1.139574423E-1,1.349692140E-2,8.909571171E-2
6.812789580E-1,1.867113858E-1,-1.579522714E-2,3.009454161E-2
7.011949583E-1,2.196340412E-1,-8.022202179E-3,9.287527204E-2
7.211109581E-1,2.370060384E-1,3.782212734E-3,2.339524627E-1
7.410279582E-1,2.550472915E-1,-3.959074616E-3,4.033640027E-1
7.609439581E-1,2.782269716E-1,-5.154214054E-2,5.336256027E-1
7.808599579E-1,2.853842974E-1,-1.053801775E-1,5.847057700E-1
8.007759582E-1,2.730023265E-1,-1.448928714E-1,5.625327826E-1
8.206919581E-1,2.609722912E-1,-1.442987621E-1,4.759570360E-1
