"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-4.885001108E-4,4.470303955E0,8.382568359E-2,1.127964386E1
1.942749973E-2,3.733536072E0,-8.891510010E-2,1.242281662E1
3.934349958E-2,2.457140350E0,2.267784119E-1,1.189546326E1
5.925949989E-2,1.910626831E0,2.121089172E-1,1.099403778E1
7.917549973E-2,2.133663025E0,-1.871109009E-1,1.077654007E1
9.909149958E-2,2.757864990E0,-5.673202515E-1,1.074450668E1
1.190074999E-1,3.080294495E0,-5.447172546E-1,1.031909134E1
1.389234997E-1,2.792293396E0,-1.920506287E-1,9.660610657E0
1.588394996E-1,2.286644897E0,1.064286804E-1,9.310189362E0
1.787554999E-1,1.958227844E0,2.782713318E-1,9.258397064E0
1.986714997E-1,1.953886871E0,2.508782959E-1,8.962462463E0
2.185874996E-1,2.235750732E0,7.349716187E-2,8.530909882E0
2.385034999E-1,2.484832764E0,-1.249900818E-1,8.273744659E0
2.584194997E-1,2.590962067E0,-1.375639343E-1,8.080496521E0
2.783354996E-1,2.450853424E0,9.235794067E-2,8.014034729E0
2.982514999E-1,2.252815247E0,3.586541748E-1,8.057743835E0
3.181674997E-1,2.190395050E0,4.966671753E-1,8.041727142E0
3.380834996E-1,2.460283813E0,5.592370605E-1,8.058043213E0
3.579994999E-1,2.940185852E0,5.418731689E-1,8.050858154E0
3.779154997E-1,3.302432556E0,5.650749207E-1,8.160280609E0
3.978314996E-1,3.573369141E0,6.092330933E-1,8.198002167E0
4.177474999E-1,3.779191132E0,6.686595154E-1,8.482560425E0
4.376634997E-1,3.887565765E0,7.496411133E-1,8.877588959E0
4.575794996E-1,3.754791870E0,8.255332947E-1,9.257349243E0
4.774954999E-1,3.398383026E0,8.963360596E-1,9.670340424E0
4.974114997E-1,3.229384460E0,9.092092896E-1,9.803413696E0
5.173269580E-1,3.342848511E0,7.714956665E-1,9.890233154E0
5.372429583E-1,3.816613312E0,6.200106812E-1,1.032642609E1
5.571589582E-1,3.974534912E0,6.256988525E-1,1.114073273E1
5.770749580E-1,3.653602295E0,1.156495056E0,1.134580627E1
5.969909583E-1,3.112327881E0,1.825154572E0,1.172451874E1
6.169069582E-1,1.955084381E0,2.446063385E0,1.153142029E1
6.368229580E-1,1.686093750E0,2.485431519E0,1.122291183E1
6.567389583E-1,1.688189392E0,2.312391357E0,1.143157791E1
6.766549582E-1,2.119891663E0,2.048490143E0,1.105645798E1
6.965709580E-1,2.599943390E0,1.833686829E0,1.026011398E1
7.164879581E-1,3.156186676E0,1.686542816E0,9.502838745E0
7.364039579E-1,3.478616180E0,1.547182617E0,8.717272339E0
7.563199583E-1,3.672912140E0,1.378184052E0,8.083340607E0
7.762359581E-1,3.731739807E0,1.238374786E0,7.504045258E0
7.961519579E-1,3.695814514E0,1.091679840E0,7.081324310E0
8.160679583E-1,3.614533539E0,9.639953613E-1,6.840475159E0
8.359839581E-1,3.434607697E0,9.114546204E-1,6.715036011E0
8.558999579E-1,3.340752869E0,8.408015442E-1,6.696175232E0
8.758159583E-1,3.356021118E0,8.170010376E-1,6.844217377E0
8.957319581E-1,3.263363800E0,9.246272278E-1,7.136260071E0
9.156479579E-1,3.233126678E0,1.111438751E0,7.329208832E0
9.355639582E-1,3.408412170E0,1.284927979E0,7.613617401E0
9.554799581E-1,3.702999573E0,1.461560669E0,7.997269592E0
9.753959579E-1,4.062102814E0,1.665586395E0,8.363707581E0
9.953119582E-1,4.222569122E0,1.855242004E0,8.894054718E0
1.015227958E0,4.505331116E0,1.989662476E0,9.378597107E0
1.035143958E0,4.964276733E0,2.163002014E0,1.009575577E1
1.055059958E0,5.015470276E0,2.284848633E0,1.061278061E1
1.074975958E0,5.051096191E0,2.079176331E0,1.087323898E1
1.094891958E0,4.961881714E0,1.670376434E0,1.168500092E1
1.114807958E0,4.079317017E0,1.418450317E0,1.226264969E1
1.134723958E0,2.883902893E0,1.162632294E0,1.202943466E1
1.154639958E0,2.005080414E0,9.789642334E-1,1.160776154E1
1.174555958E0,1.881287842E0,5.327421570E-1,1.104044128E1
1.194471958E0,2.226919098E0,5.448669434E-2,1.051488419E1
1.214387958E0,2.515219574E0,-2.182461548E-1,9.965526581E0
1.234303958E0,2.418370972E0,-1.850152588E-1,9.197024689E0
1.254219958E0,2.196681976E0,-1.212478638E-2,8.574918365E0
1.274135958E0,1.900298309E0,3.577560425E-2,8.199648743E0
1.294051958E0,1.735191650E0,2.275268555E-2,7.929460602E0
1.313967958E0,1.705702972E0,3.667373657E-2,7.664810944E0
1.333883958E0,1.778601379E0,7.873626709E-2,7.475005646E0
1.353799958E0,1.914668427E0,1.549278259E-1,7.354655914E0
1.373715958E0,1.984872437E0,3.046165466E-1,7.355104980E0
1.393631958E0,1.827549591E0,4.092489624E-1,7.412884827E0
1.413547958E0,1.768721924E0,6.030958557E-1,7.609575806E0
1.433463958E0,1.734293518E0,7.860154724E-1,7.828420715E0
1.453379958E0,1.938768311E0,8.982820129E-1,8.012837219E0
1.473295958E0,2.219584351E0,9.011260986E-1,8.707093506E0
1.493211958E0,2.523602142E0,9.910890198E-1,9.399254150E0
1.513128125E0,2.617606659E0,1.234333191E0,1.018691620E1
1.533044125E0,2.690505066E0,1.663041687E0,1.089913513E1
1.552960125E0,2.522254944E0,2.332898712E0,1.161764099E1
1.572876125E0,2.281854858E0,2.858306122E0,1.216744766E1
1.592792125E0,2.037113800E0,2.853067017E0,1.224034607E1
1.612708125E0,2.210603027E0,2.639910278E0,1.229153961E1
1.632624125E0,2.026186523E0,2.918181610E0,1.265243912E1
1.652540125E0,1.346000977E0,2.771336975E0,1.222313187E1
1.672456125E0,3.885919189E-1,2.564916229E0,1.201237015E1
1.692372125E0,-2.528242493E-1,2.504441986E0,1.188752975E1
1.712288125E0,-3.279679871E-1,2.545007629E0,1.128967300E1
1.732204125E0,8.472381592E-2,2.556533661E0,1.086051544E1
1.752120125E0,6.976991272E-1,2.408940582E0,1.018422180E1
1.772036125E0,1.241368561E0,2.036814423E0,9.264833679E0
1.791952125E0,1.759740601E0,1.642833710E0,8.374784546E0
1.811868125E0,2.096689911E0,1.300345917E0,7.512128448E0
1.831784125E0,2.315684509E0,1.030307465E0,6.746770020E0
1.851700125E0,2.420915680E0,8.168513489E-1,6.217770081E0
1.871616125E0,2.412982178E0,6.373745728E-1,6.027665405E0
1.891532125E0,2.421215057E0,5.767506409E-1,6.230493622E0
1.911448125E0,2.476450195E0,6.367758179E-1,6.479875031E0
1.931364125E0,2.495909729E0,7.981402588E-1,7.016808472E0
1.951280125E0,2.330204315E0,1.094074860E0,7.711064758E0
1.971196125E0,2.120939484E0,1.311572571E0,8.256231079E0
1.991113125E0,2.193089447E0,1.409768372E0,8.795110474E0
2.011029125E0,2.507884827E0,1.296004944E0,9.390123138E0
2.030945125E0,2.803520050E0,1.069825287E0,9.906549225E0
2.050861125E0,2.949915619E0,9.723779297E-1,1.036145325E1
2.070777125E0,3.138523407E0,9.635462952E-1,1.062834824E1
2.090693125E0,3.361709290E0,8.873547363E-1,1.087503525E1
2.110609125E0,3.593876495E0,7.429051208E-1,1.117201767E1
2.130525125E0,3.798500977E0,6.798861694E-1,1.124297012E1
2.150441125E0,3.887565765E0,3.773652649E-1,1.111094467E1
2.170357125E0,3.783083038E0,2.589614868E-2,1.131033005E1
