"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.960721898E1,3.211396015E1,1.189506441E2,1.965683413E1,-1.000000000E0,-1.000000000E0,4.400000000E1,4.400000000E1
2.939209604E1,3.211401744E1,1.189512879E2,1.966258740E1,-1.000000000E0,-1.000000000E0,7.848916915E1,7.848916915E1
3.436336505E1,3.211405783E1,1.189518458E2,1.590817761E1,-1.000000000E0,-1.000000000E0,8.462913781E1,8.462913781E1
4.622523403E1,3.211425033E1,1.189508830E2,1.579968023E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.527454305E1,3.211441068E1,1.189507244E2,1.615536880E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.169286108E1,3.211439549E1,1.189506848E2,1.612464690E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.891092300E1,3.211441259E1,1.189505844E2,1.601694465E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.532839799E1,3.211449231E1,1.189505886E2,1.618810987E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.177621603E1,3.211452036E1,1.189504753E2,1.614002538E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.778659701E1,3.211462881E1,1.189504333E2,1.618153214E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.424865103E1,3.211466721E1,1.189503247E2,1.629313660E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.006583641E2,3.211495715E1,1.189503117E2,1.632466793E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.066942190E2,3.211497745E1,1.189502619E2,1.638098717E1,-1.000000000E0,-1.000000000E0,4.150107543E1,4.150107543E1
1.131164200E2,3.211500484E1,1.189502285E2,1.639761877E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.195089210E2,3.211510405E1,1.189501775E2,1.643923354E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.265769401E2,3.211509107E1,1.189501312E2,1.654742527E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.326658280E2,3.211507005E1,1.189500894E2,1.654724216E1,-1.000000000E0,-1.000000000E0,4.643939051E1,4.643939051E1
1.377300740E2,3.211504441E1,1.189500711E2,1.654724216E1,-1.000000000E0,-1.000000000E0,5.100000000E1,5.100000000E1
1.382856190E2,3.211503222E1,1.189500746E2,1.659526253E1,-1.000000000E0,-1.000000000E0,5.100000000E1,5.100000000E1
1.442929140E2,3.211502243E1,1.189500668E2,1.663440514E1,-1.000000000E0,-1.000000000E0,5.100000000E1,5.100000000E1
1.503248130E2,3.211501840E1,1.189500672E2,1.665780735E1,-1.000000000E0,-1.000000000E0,5.100000000E1,5.100000000E1
1.563891001E2,3.211501746E1,1.189500705E2,1.667057419E1,-1.000000000E0,-1.000000000E0,5.100000000E1,5.100000000E1
1.624948241E2,3.211501790E1,1.189500743E2,1.667735481E1,-1.000000000E0,-1.000000000E0,5.100000000E1,5.100000000E1
1.685340950E2,3.211501876E1,1.189500772E2,1.667735481E1,-1.000000000E0,-1.000000000E0,5.100000000E1,5.100000000E1
1.689714680E2,3.211542802E1,1.189500292E2,1.680259085E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.750770531E2,3.211523446E1,1.189500535E2,1.675156307E1,-1.000000000E0,-1.000000000E0,5.003044728E1,5.003044728E1
1.885886281E2,3.211540824E1,1.189502599E2,1.667706490E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.938869851E2,3.211526753E1,1.189502191E2,1.668061161E1,-1.000000000E0,-1.000000000E0,4.320426815E1,4.320426815E1
1.942845551E2,3.211545255E1,1.189502735E2,1.669006491E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.958451930E2,3.211550390E1,1.189502922E2,1.669598031E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.959009600E2,3.211551950E1,1.189502956E2,1.669912171E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
