"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.484928542E0,-1.827871203E-1,2.547464371E-1,2.350250334E-1
1.504845542E0,-1.301056743E-1,2.068879604E-1,2.762967348E-1
1.524762542E0,-5.549651012E-2,1.957277060E-1,2.988970280E-1
1.544679542E0,-2.930755168E-2,2.179988474E-1,3.047684431E-1
1.564596542E0,-2.538620308E-2,2.453321368E-1,2.787204683E-1
1.584513542E0,1.697718166E-2,2.274912149E-1,2.327755392E-1
1.604430542E0,6.345546246E-2,2.042822689E-1,1.814148873E-1
1.624347542E0,1.054025665E-1,1.835683435E-1,1.152464300E-1
1.644264542E0,1.078843549E-1,1.334659755E-1,2.532212809E-2
1.664180542E0,2.849734388E-2,4.399428144E-2,-8.123206347E-2
1.684097542E0,-6.957380474E-2,-3.646850213E-2,-1.792965531E-1
1.704014542E0,-1.334690899E-1,-8.327818662E-2,-2.446648180E-1
1.723931542E0,-2.112639099E-1,-7.152743638E-2,-2.745975852E-1
1.743848167E0,-3.331710696E-1,-3.160097636E-3,-2.508239746E-1
1.763765167E0,-3.749951720E-1,1.372343451E-1,-1.928336024E-1
1.783682167E0,-3.064455688E-1,2.815373838E-1,-1.555122137E-1
1.803599167E0,-2.033766210E-1,4.017308354E-1,-1.324225366E-1
1.823516167E0,-9.358298033E-2,3.989386559E-1,-1.079688147E-1
1.843433167E0,-7.269144803E-2,1.787050366E-1,-6.052717194E-2
1.863350167E0,1.899708435E-2,-5.627343059E-2,-7.116820663E-2
1.883267167E0,1.872190535E-1,-2.475972772E-1,-1.180199236E-1
1.903184167E0,3.039198816E-1,-3.587987721E-1,-1.605838239E-1
1.923100167E0,3.345235884E-1,-3.577662110E-1,-2.098907083E-1
1.943017167E0,3.171323836E-1,-3.139920235E-1,-2.756710052E-1
1.962934167E0,2.702887654E-1,-3.060832620E-1,-3.329933584E-1
1.982851167E0,2.130672187E-1,-2.947188616E-1,-3.812080920E-1
2.002768167E0,1.442086548E-1,-2.929958403E-1,-4.381444752E-1
2.022685167E0,7.587431371E-2,-3.158504367E-1,-5.079315901E-1
2.042602167E0,4.062324017E-2,-2.963857055E-1,-5.598431230E-1
2.062519167E0,6.465644389E-2,-2.616160214E-1,-5.794284940E-1
2.082436167E0,1.419436336E-1,-2.696976960E-1,-5.450490713E-1
2.102353167E0,1.829262972E-1,-2.302637845E-1,-4.873207211E-1
2.122269167E0,1.937323362E-1,-1.586896032E-1,-4.294449091E-1
2.142186167E0,2.112476528E-1,-9.923350811E-2,-3.602435291E-1
2.162103167E0,2.073449343E-1,-3.365298733E-2,-2.941599488E-1
2.182020167E0,2.323826551E-1,1.783022285E-2,-2.173314840E-1
2.201937167E0,3.358182311E-1,4.176862538E-2,-1.264844090E-1
2.221854167E0,4.273000956E-1,2.672158368E-2,-3.716581687E-2
2.241771167E0,3.218058348E-1,-1.480587851E-2,6.225579977E-2
2.261688167E0,1.471961737E-1,-4.032296315E-2,2.186386883E-1
2.281605167E0,1.271962970E-1,7.290585339E-2,3.988597989E-1
2.301522167E0,1.082755104E-1,9.205914289E-2,4.726399183E-1
2.321439167E0,1.822048798E-3,9.079449624E-2,4.258364439E-1
2.341355167E0,-2.562193945E-2,1.480004340E-1,3.321921527E-1
2.361272167E0,-1.167637706E-1,2.276775986E-1,2.207554281E-1
2.381189167E0,-2.576168180E-1,3.068871796E-1,8.704737574E-2
2.401106167E0,-3.000791073E-1,3.082823455E-1,-1.884235814E-2
2.421023167E0,-2.845751345E-1,2.681915164E-1,-7.059887797E-2
2.440940167E0,-2.727008462E-1,2.257664800E-1,-7.478055358E-2
2.460857167E0,-2.636776865E-1,1.491696537E-1,-4.318072274E-2
2.480774167E0,-2.670635879E-1,2.853257954E-2,1.101412438E-2
2.500691167E0,-2.451626956E-1,-1.146912277E-1,7.643825561E-2
2.520608167E0,-1.966301203E-1,-2.476980835E-1,1.378885061E-1
2.540525167E0,-1.601475328E-1,-3.296378255E-1,1.645485461E-1
2.560442167E0,-1.247452050E-1,-3.027178943E-1,1.646977961E-1
2.580359167E0,-8.692652732E-2,-1.870586872E-1,1.476535201E-1
2.600275167E0,-7.308653742E-2,-1.799425483E-2,9.220230579E-2
2.620192167E0,-6.803091615E-2,1.878258735E-1,-5.522237625E-3
2.640109167E0,-5.618840922E-3,4.167478681E-1,-9.741717577E-2
2.660026167E0,-7.759170141E-3,5.310906172E-1,-6.640194356E-2
2.679943167E0,-1.590085030E-1,4.597505033E-1,7.818383723E-2
2.699860167E0,-1.399556547E-1,2.886276543E-1,1.948135793E-1
2.719777167E0,-1.703765690E-1,2.167304456E-1,2.730067670E-1
2.739694959E0,-3.103095293E-1,2.293091714E-1,2.886868119E-1
2.759611959E0,-4.863243997E-1,7.837688923E-2,2.423665524E-1
2.779528959E0,-5.755706429E-1,-7.655242831E-2,1.809045076E-1
2.799444959E0,-5.224825144E-1,1.406824030E-2,1.684370786E-1
2.819361959E0,-4.414567053E-1,4.701753333E-2,1.746864170E-1
2.839278958E0,-3.943541348E-1,-1.303872615E-1,1.367044598E-1
2.859195958E0,-2.719496787E-1,-3.456566334E-1,1.067025810E-1
2.879112958E0,-1.222801581E-1,-3.905415237E-1,1.175039783E-1
2.899029959E0,-3.373537213E-2,-3.503506482E-1,1.336294115E-1
2.918946959E0,-2.106915973E-2,-2.970395684E-1,1.104159206E-1
2.938863959E0,-7.377816364E-4,-2.299880534E-1,1.672938280E-2
2.958780958E0,3.114759549E-2,-1.536902189E-1,-7.363285124E-2
2.978697958E0,7.948385924E-2,-1.222972348E-1,-1.381038278E-1
2.998614958E0,1.066771001E-1,-1.398690194E-1,-2.180157453E-1
3.018531959E0,1.085919142E-1,-1.906195581E-1,-2.874134481E-1
3.038447958E0,1.012903824E-1,-2.601204515E-1,-3.091325462E-1
