"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.167625103E-3,-8.330150146E2,7.786760254E2,-4.080519104E1
2.908362495E-2,-8.334321289E2,7.790382690E2,-4.059174347E1
4.899862502E-2,-8.340656738E2,7.794600220E2,-4.013544464E1
6.891462486E-2,-8.336234131E2,7.799489746E2,-4.023516083E1
8.882962493E-2,-8.338797607E2,7.804602051E2,-4.003642273E1
1.087456252E-1,-8.345218506E2,7.808460693E2,-3.928347015E1
1.286616251E-1,-8.349279785E2,7.816763306E2,-3.953834534E1
1.485766252E-1,-8.343629761E2,7.819943237E2,-3.942947388E1
1.684926250E-1,-8.346675415E2,7.827708130E2,-3.894058990E1
1.884076251E-1,-8.341772461E2,7.827621460E2,-3.943683624E1
2.083236249E-1,-8.334835205E2,7.829457397E2,-3.943092346E1
2.282396252E-1,-8.332437134E2,7.835944824E2,-3.989102173E1
2.481546248E-1,-8.326477051E2,7.841055908E2,-4.086299133E1
2.680706251E-1,-8.319840088E2,7.843577881E2,-4.156989288E1
2.879905002E-1,-8.316353149E2,7.843190918E2,-4.097470856E1
3.079054998E-1,-8.315881348E2,7.847058105E2,-4.190758514E1
3.278215001E-1,-8.316054688E2,7.849774170E2,-4.174629211E1
3.477365002E-1,-8.315609741E2,7.851746216E2,-4.216049194E1
3.676525000E-1,-8.312568970E2,7.857183228E2,-4.247798920E1
3.875684999E-1,-8.304884033E2,7.858222046E2,-4.254113007E1
4.074835000E-1,-8.298930054E2,7.856892090E2,-4.320912170E1
4.273994998E-1,-8.295065308E2,7.856676025E2,-4.332786560E1
4.473144999E-1,-8.291247559E2,7.856251221E2,-4.361198425E1
4.672305002E-1,-8.292947998E2,7.859277954E2,-4.420838928E1
4.871465000E-1,-8.285580444E2,7.858552856E2,-4.402336121E1
5.070615001E-1,-8.289048462E2,7.858833618E2,-4.407108307E1
5.269774999E-1,-8.289409790E2,7.856688232E2,-4.401176453E1
5.468935003E-1,-8.284631348E2,7.856051636E2,-4.401162720E1
5.668084999E-1,-8.287329102E2,7.859958496E2,-4.485422516E1
5.867245002E-1,-8.289535522E2,7.861446533E2,-4.486338043E1
6.066395002E-1,-8.282006226E2,7.861561279E2,-4.494232178E1
6.265555001E-1,-8.283612671E2,7.864698486E2,-4.562448883E1
6.464714999E-1,-8.280465698E2,7.861246948E2,-4.530490112E1
6.663865000E-1,-8.281534424E2,7.862501831E2,-4.559663391E1
6.863024998E-1,-8.281291504E2,7.862482300E2,-4.531845093E1
7.062174999E-1,-8.282904663E2,7.858632812E2,-4.591046906E1
7.261335002E-1,-8.280148315E2,7.859833374E2,-4.594597626E1
7.460495001E-1,-8.278126221E2,7.858330078E2,-4.549408722E1
7.659645001E-1,-8.283843384E2,7.856462402E2,-4.532946777E1
7.858805000E-1,-8.288176880E2,7.860128174E2,-4.507559967E1
8.057964998E-1,-8.295020142E2,7.856125488E2,-4.476145172E1
8.257114999E-1,-8.293883057E2,7.862140503E2,-4.450651550E1
8.456275002E-1,-8.304936523E2,7.868538818E2,-4.433888245E1
