"Time (s)","X (hPa)"
-5.348007502E-1,1.033464279E3
5.020842501E-1,1.033463287E3
1.539032250E0,1.033462219E3
2.539112250E0,1.033459091E3
3.539210250E0,1.033454590E3
3.686477250E0,1.033454132E3
4.612480250E0,1.033454132E3
5.538530250E0,1.033455276E3
6.464537250E0,1.033456879E3
7.390552250E0,1.033458023E3
8.316652250E0,1.033461609E3
9.242854250E0,1.033466797E3
1.016919525E1,1.033471222E3
1.109538125E1,1.033476257E3
1.202162325E1,1.033482895E3
1.294799525E1,1.033489685E3
1.387433225E1,1.033493881E3
1.480066125E1,1.033496933E3
1.572705125E1,1.033500366E3
1.665350525E1,1.033503647E3
1.757999825E1,1.033503876E3
1.850653825E1,1.033505402E3
1.943303925E1,1.033507309E3
2.035961525E1,1.033508682E3
2.128623125E1,1.033512497E3
2.221291325E1,1.033518219E3
2.313946425E1,1.033521805E3
2.406599325E1,1.033525391E3
2.499254925E1,1.033530121E3
2.591914225E1,1.033533859E3
2.684574525E1,1.033536606E3
2.777243225E1,1.033541183E3
2.869926225E1,1.033544235E3
2.962607625E1,1.033544235E3
3.055284425E1,1.033540878E3
3.147953725E1,1.033537216E3
3.240622125E1,1.033532410E3
3.333291225E1,1.033527679E3
3.425965025E1,1.033527298E3
3.518634125E1,1.033527298E3
3.611305425E1,1.033531036E3
3.703994425E1,1.033532104E3
3.796684225E1,1.033532486E3
3.889381325E1,1.033532486E3
3.982077625E1,1.033532562E3
4.074778025E1,1.033533936E3
4.167479525E1,1.033538437E3
4.260161125E1,1.033544388E3
4.352844025E1,1.033550720E3
4.445522725E1,1.033557816E3
4.538211025E1,1.033562775E3
4.630903825E1,1.033565598E3
4.723607425E1,1.033570786E3
4.816312125E1,1.033574905E3
4.909012425E1,1.033578491E3
5.001730725E1,1.033582077E3
5.094457625E1,1.033586426E3
5.187186825E1,1.033588943E3
5.279922325E1,1.033592072E3
5.372657825E1,1.033596420E3
5.465385625E1,1.033600006E3
5.558117325E1,1.033603668E3
5.650848025E1,1.033606720E3
5.743585325E1,1.033610229E3
5.836327725E1,1.033612518E3
5.929065025E1,1.033614197E3
6.021800225E1,1.033618240E3
6.114541925E1,1.033621368E3
6.207278925E1,1.033624344E3
6.300026325E1,1.033625565E3
6.392767425E1,1.033626175E3
6.485510025E1,1.033627701E3
6.578266725E1,1.033628998E3
6.671018425E1,1.033631516E3
6.763758525E1,1.033635559E3
6.856497425E1,1.033640442E3
6.949220725E1,1.033646469E3
7.041951425E1,1.033652344E3
7.134698125E1,1.033657150E3
7.227444925E1,1.033660355E3
7.320189225E1,1.033663559E3
7.412944825E1,1.033665314E3
7.505698425E1,1.033665314E3
7.598457425E1,1.033664780E3
7.691212825E1,1.033664703E3
7.783977625E1,1.033661575E3
7.876735625E1,1.033655777E3
7.969505625E1,1.033648758E3
8.062277325E1,1.033642807E3
8.155053425E1,1.033636856E3
8.247817525E1,1.033631973E3
8.340604125E1,1.033631973E3
8.433391225E1,1.033635254E3
8.526178425E1,1.033640213E3
8.618955525E1,1.033646469E3
8.711740825E1,1.033654022E3
8.804526225E1,1.033661270E3
8.897313225E1,1.033666916E3
8.990111425E1,1.033673401E3
9.082893225E1,1.033681946E3
9.175673125E1,1.033686371E3
9.268442925E1,1.033691711E3
9.361224725E1,1.033696365E3
9.454016425E1,1.033700943E3
9.546808425E1,1.033703537E3
9.639609125E1,1.033711014E3
9.732416325E1,1.033716278E3
9.825224825E1,1.033720322E3
9.918029725E1,1.033724136E3
1.001082592E2,1.033729248E3
1.010363022E2,1.033731842E3
1.019643352E2,1.033734741E3
1.028921272E2,1.033739853E3
1.038199142E2,1.033743896E3
1.047477633E2,1.033749390E3
1.056756363E2,1.033755722E3
