"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.167625103E-3,3.151546717E-1,-1.996841878E-1,3.553671837E-1
2.908362495E-2,3.429629803E-1,-2.333122194E-1,3.996038139E-1
4.899862502E-2,3.619175255E-1,-2.369170040E-1,4.488053620E-1
6.891462486E-2,3.567649722E-1,-2.496044487E-1,5.054063201E-1
8.882962493E-2,3.363278806E-1,-3.002426922E-1,5.800944567E-1
1.087456252E-1,3.416756392E-1,-3.556655347E-1,6.660414934E-1
1.286616251E-1,3.426819146E-1,-3.375903368E-1,7.469289899E-1
1.485766252E-1,3.290317655E-1,-1.678089947E-1,7.786102295E-1
1.684926250E-1,2.670895457E-1,3.781811893E-2,7.500759363E-1
1.884076251E-1,1.567756981E-1,2.689017653E-1,7.002044320E-1
2.083236249E-1,4.996281117E-2,5.083622932E-1,6.320290565E-1
2.282396252E-1,-2.153369598E-2,6.215518713E-1,5.677887797E-1
2.481546248E-1,-6.387156248E-2,5.698656440E-1,5.376470685E-1
2.680706251E-1,-3.245898709E-2,4.171220064E-1,5.349552035E-1
2.879905002E-1,9.169923514E-2,2.384653538E-1,5.540825129E-1
3.079054998E-1,2.544259727E-1,1.376158297E-1,5.896596313E-1
3.278215001E-1,3.543435335E-1,1.009219065E-1,6.065637469E-1
3.477365002E-1,3.600837886E-1,1.397748142E-1,6.027090549E-1
3.676525000E-1,3.274924755E-1,1.952780038E-1,5.759328008E-1
3.875684999E-1,2.740622163E-1,1.989905685E-1,5.230130553E-1
4.074835000E-1,2.184341103E-1,1.844917834E-1,4.584713578E-1
4.273994998E-1,1.848286390E-1,1.719050407E-1,3.848565817E-1
4.473144999E-1,1.830078363E-1,1.851370335E-1,3.004385531E-1
4.672305002E-1,2.122550607E-1,2.073714733E-1,2.241844386E-1
4.871465000E-1,2.380185127E-1,2.139365673E-1,1.543569863E-1
5.070615001E-1,2.376223505E-1,2.292234600E-1,1.131170169E-1
5.269774999E-1,1.934948266E-1,2.511182129E-1,8.791330457E-2
5.468935003E-1,1.285842806E-1,2.750277817E-1,7.087753713E-2
5.668084999E-1,6.857565790E-2,2.828937173E-1,5.592545494E-2
5.867245002E-1,3.019981273E-2,2.736862600E-1,3.300596774E-2
6.066395002E-1,7.897685282E-3,2.585208714E-1,1.428063214E-2
6.265555001E-1,-5.536893848E-3,2.207842469E-1,-1.628130116E-2
6.464714999E-1,-3.378848732E-2,1.529662013E-1,-4.739598930E-2
6.663865000E-1,-5.543986335E-2,4.789464176E-2,-8.651971817E-2
6.863024998E-1,-6.260726601E-2,-7.751383632E-2,-1.267078966E-1
7.062174999E-1,-5.820263922E-2,-1.731635034E-1,-1.635800600E-1
7.261335002E-1,-2.974918298E-2,-2.407405674E-1,-1.984009743E-1
7.460495001E-1,-1.597823948E-2,-3.024453521E-1,-2.324351519E-1
7.659645001E-1,-4.980197549E-2,-3.345268965E-1,-2.141198516E-1
7.858805000E-1,-1.322563738E-1,-3.228562176E-1,-1.676414758E-1
8.057964998E-1,-2.016766965E-1,-3.497911990E-1,-1.685703844E-1
8.257114999E-1,-2.793205082E-1,-4.091786146E-1,-2.121676803E-1
8.456275002E-1,-3.310681283E-1,-4.695504606E-1,-2.770537138E-1
8.655424998E-1,-3.273338974E-1,-4.975721538E-1,-3.238874674E-1
8.854585001E-1,-3.050628603E-1,-4.260839224E-1,-3.442518115E-1
9.053745000E-1,-2.795046866E-1,-2.316094786E-1,-3.121377826E-1
9.252895000E-1,-2.616046071E-1,-9.117323160E-2,-2.820862830E-1
9.452054999E-1,-3.587784171E-1,-8.253116906E-2,-2.748630047E-1
9.651215002E-1,-4.563204050E-1,-1.894420832E-1,-2.851277590E-1
9.850365003E-1,-4.155856669E-1,-3.218437433E-1,-2.987545729E-1
1.004952500E0,-2.890676856E-1,-2.944909334E-1,-3.127017617E-1
1.024867500E0,-1.863422543E-1,-1.576480865E-1,-3.013049960E-1
1.044783500E0,-1.225102544E-1,6.768704392E-3,-2.925305963E-1
1.064699500E0,-8.586356044E-2,1.448893249E-1,-3.497682512E-1
1.084614500E0,-8.841858059E-2,1.920475215E-1,-4.285309315E-1
1.104530500E0,-1.029209420E-1,1.245291904E-1,-4.725961089E-1
1.124446500E0,-6.474220008E-2,2.167224884E-2,-4.644985199E-1
1.144361500E0,4.837242514E-2,-4.449106380E-2,-4.188507497E-1
1.164277500E0,1.866523921E-1,-7.408193499E-2,-3.530519903E-1
1.184192500E0,2.704745829E-1,-8.169329166E-2,-2.721691728E-1
1.204108500E0,3.020242751E-1,-8.905290067E-2,-2.053106725E-1
1.224024500E0,3.045180142E-1,-6.876063347E-2,-1.565955877E-1
1.243939500E0,2.968127429E-1,-5.651504546E-2,-1.096794605E-1
1.263855500E0,2.940990925E-1,-7.173322141E-2,-5.686092377E-2
1.283767250E0,3.044859767E-1,-1.104930639E-1,-1.006043050E-2
1.303682250E0,3.446898162E-1,-1.500316411E-1,3.807647899E-2
1.323598250E0,3.841463029E-1,-2.017683387E-1,9.530065209E-2
1.343513250E0,4.471536279E-1,-2.567435801E-1,1.671636552E-1
1.363429250E0,5.382736921E-1,-3.073266149E-1,2.608720064E-1
1.383345250E0,6.435710192E-1,-2.901266515E-1,3.969542682E-1
1.403260250E0,7.081189156E-1,-2.426346540E-1,5.744528174E-1
1.423176250E0,7.007228136E-1,-2.460455000E-1,7.177004218E-1
1.443092250E0,6.359414458E-1,-3.076020479E-1,8.241989017E-1
1.463007250E0,5.962836742E-1,-4.065310061E-1,9.329683185E-1
1.482923250E0,6.395647526E-1,-4.285748899E-1,1.043461680E0
1.502839250E0,7.143074274E-1,-3.334406018E-1,1.131547689E0
1.522754250E0,7.602726817E-1,-1.164098457E-1,1.188464284E0
1.542670250E0,7.180345058E-1,1.639758199E-1,1.193700910E0
1.562585250E0,4.947584271E-1,3.734061718E-1,1.156708121E0
1.582501250E0,2.352268696E-1,4.251950383E-1,1.122096539E0
1.602417250E0,9.039817005E-2,3.261476159E-1,1.110382438E0
1.622332250E0,6.026716903E-2,1.983290315E-1,1.110356331E0
1.642248250E0,1.021970510E-1,9.722650796E-2,1.108821511E0
1.662164250E0,2.194004804E-1,6.033632532E-2,1.091614604E0
1.682079250E0,3.516954184E-1,6.032285094E-2,1.047690272E0
1.701995250E0,4.333219826E-1,6.025980413E-2,9.965120554E-1
1.721910250E0,4.597979188E-1,1.379377022E-2,9.572154284E-1
1.741826250E0,4.397553504E-1,-1.144382954E-1,8.899344206E-1
1.761742250E0,3.928190172E-1,-2.439836115E-1,7.946639657E-1
1.781657250E0,3.231300712E-1,-3.471584916E-1,6.810745001E-1
1.801573250E0,2.738624215E-1,-3.570148647E-1,5.641984940E-1
1.821489250E0,2.571722567E-1,-2.804400623E-1,4.405609369E-1
1.841404250E0,2.551398575E-1,-1.903994083E-1,3.232419491E-1
1.861320250E0,2.314953804E-1,-1.099052206E-1,2.147664130E-1
1.881236250E0,1.492334008E-1,-7.441312075E-2,1.019238085E-1
1.901151250E0,2.673491277E-2,-5.820923671E-2,2.925885841E-3
1.921067250E0,-1.050515920E-1,-5.851612613E-2,-6.847541034E-2
1.940982250E0,-2.328098267E-1,-5.914355069E-2,-1.190518066E-1
1.960898250E0,-3.526740670E-1,-4.367670789E-2,-1.538321823E-1
1.980814250E0,-4.689841568E-1,-3.117591143E-2,-1.667342633E-1
2.000729250E0,-5.563889742E-1,-5.181964487E-2,-1.742479652E-1
2.020645250E0,-6.221610308E-1,-8.099205047E-2,-1.970479488E-1
2.040561250E0,-6.521007419E-1,-1.422724426E-1,-2.413855642E-1
2.060476250E0,-6.750731468E-1,-2.116487026E-1,-2.988800406E-1
2.080392250E0,-6.780801415E-1,-2.479515076E-1,-3.669849932E-1
2.100308250E0,-6.617436409E-1,-2.461815774E-1,-4.499391317E-1
2.120223250E0,-6.347581148E-1,-1.974636912E-1,-5.327503681E-1
2.140139250E0,-5.743231177E-1,-6.743150204E-2,-6.246077418E-1
2.160055250E0,-5.131589174E-1,1.343233734E-1,-6.944871545E-1
2.179970250E0,-4.364657402E-1,3.128519058E-1,-7.385247350E-1
