"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.096252568E-4,3.167563019E0,4.954696655E-2,9.086105347E0
2.072562510E-2,3.320544891E0,5.718109131E-2,9.152118073E0
4.064062517E-2,3.458857269E0,1.213975525E-1,9.281449127E0
6.055662502E-2,3.524271240E0,2.499801636E-1,9.240883484E0
8.047262486E-2,3.542682953E0,3.284170532E-1,9.255253601E0
1.003876249E-1,3.552263031E0,2.712359619E-1,9.233249359E0
1.203036252E-1,3.641776886E0,1.392105103E-1,9.301208038E0
1.402186248E-1,3.783981171E0,4.790039063E-2,9.619745636E0
1.601346252E-1,3.534749451E0,3.240760803E-1,1.015143997E1
1.800506250E-1,3.175646210E0,5.647755432E-1,1.007225464E1
1.999656251E-1,2.961890717E0,8.710386658E-1,1.028107040E1
2.198816249E-1,2.712808685E0,1.169967041E0,1.080498093E1
2.397976252E-1,2.240241394E0,1.453028412E0,1.076291840E1
2.597126248E-1,1.798210602E0,1.612596588E0,1.043719574E1
2.796324999E-1,1.696122894E0,1.545685730E0,1.025607239E1
2.995475000E-1,1.716929626E0,1.279389496E0,1.002240829E1
3.194634998E-1,1.964215393E0,1.021026764E0,9.474846954E0
3.393795001E-1,2.334844666E0,9.274713135E-1,8.881630554E0
3.592945002E-1,2.732268219E0,8.128097534E-1,8.593629456E0
3.792105000E-1,3.094963989E0,8.388555908E-1,8.478219452E0
3.991255001E-1,3.184028778E0,9.845027161E-1,8.493936768E0
4.190415000E-1,3.096011810E0,1.009800110E0,8.523874512E0
4.389574998E-1,3.019520874E0,9.767189026E-1,8.667425995E0
4.588724999E-1,2.983595581E0,9.669891357E-1,8.780740356E0
4.787885002E-1,2.832559662E0,9.804611206E-1,8.759783936E0
4.987035003E-1,2.588117981E0,1.011746063E0,8.717721405E0
5.186195001E-1,2.527344360E0,1.078507233E0,8.611741791E0
5.385354999E-1,2.691852264E0,1.135089569E0,8.643775177E0
5.584505000E-1,2.910248108E0,1.104253693E0,8.702453156E0
5.783664999E-1,3.159928894E0,1.030457153E0,8.731941833E0
5.982825002E-1,3.392096100E0,9.949809265E-1,8.759185181E0
6.181975002E-1,3.568429413E0,9.607022095E-1,8.910071411E0
6.381135001E-1,3.658242645E0,9.114546204E-1,9.041797485E0
6.580285002E-1,3.679498444E0,9.077124023E-1,9.109606476E0
6.779445000E-1,3.647165680E0,9.448352051E-1,9.176816711E0
6.978604998E-1,3.532504120E0,9.672885132E-1,9.225465546E0
7.177754999E-1,3.368445282E0,1.059945831E0,9.343270569E0
7.376915002E-1,3.191812592E0,1.222956848E0,9.423952789E0
7.576064998E-1,3.059338074E0,1.352736969E0,9.549242249E0
7.775225001E-1,3.206931152E0,1.475481720E0,9.354197845E0
7.974385000E-1,3.724255371E0,1.625170441E0,9.489516449E0
8.173535001E-1,4.230652313E0,1.602717133E0,9.682016144E0
8.372694999E-1,4.712949371E0,1.486708374E0,9.807305603E0
8.571855002E-1,4.964725800E0,1.123264160E0,1.021281235E1
8.771004998E-1,4.927303619E0,8.189469910E-1,1.070783295E1
8.970165001E-1,4.424948273E0,4.794529724E-1,1.109477829E1
