"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.167625103E-3,5.038750380E-2,-9.727750470E-2,-1.989596987E-1
2.908362495E-2,2.190030769E-1,-3.509207205E-1,-9.137853205E-2
4.899862502E-2,2.872023690E-1,-3.106517868E-1,7.572144270E-3
6.891462486E-2,2.849818888E-1,-2.174430032E-1,1.695692539E-4
8.882962493E-2,2.511019519E-1,-2.034064696E-1,2.604174435E-2
1.087456252E-1,2.108114201E-1,-3.060448387E-1,4.598016500E-2
1.286616251E-1,2.282729602E-1,-4.616700182E-1,1.656779319E-1
1.485766252E-1,2.779564592E-1,-4.827726926E-1,6.260479313E-1
1.684926250E-1,-9.833204091E-2,-1.876715758E-1,1.018997780E0
1.884076251E-1,-3.807584041E-1,8.189778350E-2,9.255008018E-1
2.083236249E-1,-5.113702914E-1,4.086738157E-1,1.243074194E0
2.282396252E-1,-7.150527862E-1,7.539431291E-1,1.661031414E0
2.481546248E-1,-1.126088950E0,1.061033340E0,1.410058393E0
2.680706251E-1,-1.396092319E0,1.203046348E0,1.103280131E0
2.879905002E-1,-1.405269231E0,1.128498734E0,8.969500172E-1
3.079054998E-1,-1.307515480E0,8.107895404E-1,6.101856047E-1
3.278215001E-1,-9.862478176E-1,5.889202681E-1,-1.597108483E-2
3.477365002E-1,-5.956216523E-1,4.670931280E-1,-5.526718068E-1
3.676525000E-1,-1.615299171E-1,3.370667662E-1,-7.707583326E-1
3.875684999E-1,1.812166151E-1,3.975141122E-1,-8.579870957E-1
4.074835000E-1,2.330825874E-1,4.942899898E-1,-8.487537575E-1
4.273994998E-1,1.643681556E-1,4.896600182E-1,-8.030133283E-1
4.473144999E-1,1.407866272E-1,4.560617709E-1,-6.614212471E-1
4.672305002E-1,1.252210468E-1,4.005972029E-1,-5.941800213E-1
4.871465000E-1,-2.822041690E-2,4.105767920E-1,-6.183769691E-1
5.070615001E-1,-2.157534868E-1,4.015905717E-1,-7.135649621E-1
5.269774999E-1,-1.601064125E-1,4.455335668E-1,-7.962147707E-1
5.468935003E-1,7.911633611E-2,4.640284561E-1,-7.435149854E-1
5.668084999E-1,3.533472419E-1,3.953310543E-1,-7.141871059E-1
5.867245002E-1,6.515897387E-1,3.289875222E-1,-7.138070369E-1
6.066395002E-1,9.214393258E-1,2.868669581E-1,-6.790371537E-1
6.265555001E-1,1.124095927E0,2.523797147E-1,-5.069050652E-1
6.464714999E-1,1.226831506E0,2.051069496E-1,-4.173385853E-1
6.663865000E-1,1.246519958E0,2.166470144E-1,-3.569438642E-1
6.863024998E-1,1.058904442E-1,2.371166546E-1,7.219323277E-2
7.062174999E-1,-1.246424648E-1,5.753514022E-2,1.826366115E-1
7.261335002E-1,-3.394978192E-1,1.821979972E-1,2.944628567E-1
7.460495001E-1,-5.525224105E-1,3.464846572E-1,4.165538889E-1
7.659645001E-1,-6.709966475E-1,4.324384350E-1,5.114009893E-1
7.858805000E-1,-4.305725884E-1,5.598888789E-1,3.372907877E-1
8.057964998E-1,5.159349203E-2,7.201566745E-1,5.568455493E-1
8.257114999E-1,5.053418121E-1,7.010087974E-1,7.196226776E-1
8.456275002E-1,8.723975587E-1,5.540292379E-1,9.302382159E-1
8.655424998E-1,9.477900955E-1,2.070481521E-1,1.441331057E0
8.854585001E-1,7.812967694E-1,-5.916271269E-2,1.910045618E0
9.053745000E-1,1.474024594E-2,-3.478568526E-1,2.387310562E0
9.252895000E-1,-1.330720156E0,-2.617245155E-1,2.920194222E0
9.452054999E-1,-2.724228590E0,-2.984375015E-2,2.387557315E0
9.651215002E-1,-3.321402970E0,-3.517370649E-2,1.587693881E0
9.850365003E-1,-3.226326074E0,-3.434452745E-1,1.425344185E0
1.004952500E0,-2.860064672E0,-8.099887642E-1,1.421756333E0
1.024867500E0,-2.682980869E0,-1.107874142E0,1.210264882E0
1.044783500E0,-2.531942611E0,-1.220326040E0,9.814797056E-1
1.064699500E0,-2.239913365E0,-9.774379639E-1,6.925939232E-1
1.084614500E0,-2.096644595E0,-5.180308913E-1,3.299063390E-1
1.104530500E0,-2.011937736E0,-2.964940332E-1,-6.177641809E-2
1.124446500E0,-1.885501345E0,-1.558391145E-1,-3.485402459E-1
1.144361500E0,-1.651418007E0,-2.576334380E-1,-3.666572589E-1
1.164277500E0,-1.542162783E0,-3.478134370E-1,-3.359476823E-1
1.184192500E0,-1.612230260E0,-4.748263630E-1,-4.907807833E-1
1.204108500E0,-1.663483444E0,-5.306931464E-1,-5.607017881E-1
1.224024500E0,-1.599328086E0,-4.980693376E-1,-4.373693919E-1
1.243939500E0,-1.544125400E0,-3.840213697E-1,-3.373416585E-1
1.263855500E0,-1.553525384E0,-3.558157901E-1,-2.439434981E-1
1.283767250E0,-1.440226518E0,-4.938703059E-1,-1.325745052E-1
1.303682250E0,-1.163795013E0,-6.097564191E-1,2.369882351E-1
1.323598250E0,-9.887697217E-1,-6.109805337E-1,4.755704212E-1
1.343513250E0,-9.659968632E-1,-6.164269227E-1,6.343731970E-1
