"Time (s)","X (hPa)"
-5.445247083E-1,1.033966751E3
4.577812916E-1,1.033963623E3
1.460108292E0,1.033962097E3
2.462307292E0,1.033960419E3
3.464486292E0,1.033957825E3
4.466647292E0,1.033952866E3
4.647583292E0,1.033944778E3
5.575562292E0,1.033943863E3
6.503361292E0,1.033940506E3
7.430922292E0,1.033936157E3
8.358537292E0,1.033934479E3
9.286326292E0,1.033934479E3
1.021429229E1,1.033935165E3
1.114235029E1,1.033935242E3
1.207042229E1,1.033936920E3
1.299845529E1,1.033939896E3
1.392657829E1,1.033944244E3
1.485464529E1,1.033948975E3
1.578276029E1,1.033953857E3
1.671080729E1,1.033958435E3
1.763886729E1,1.033958664E3
1.856695529E1,1.033958664E3
1.949484029E1,1.033956451E3
2.042262929E1,1.033954849E3
2.135046529E1,1.033954849E3
2.227836029E1,1.033956451E3
2.320625629E1,1.033957748E3
2.413417629E1,1.033961487E3
2.506214829E1,1.033965607E3
2.599013929E1,1.033967667E3
2.691823329E1,1.033968506E3
2.784628329E1,1.033970871E3
2.877411329E1,1.033972778E3
2.970197529E1,1.033975143E3
3.062983129E1,1.033978653E3
3.155771629E1,1.033981857E3
3.248557329E1,1.033985596E3
3.341347129E1,1.033990402E3
3.434138829E1,1.033993912E3
3.526933429E1,1.033994217E3
3.619730729E1,1.033994217E3
3.712542229E1,1.033992233E3
3.805335229E1,1.033990173E3
3.898119029E1,1.033986740E3
3.990905929E1,1.033985825E3
4.083689029E1,1.033985825E3
4.176476429E1,1.033987198E3
4.269255729E1,1.033987427E3
4.362030229E1,1.033988495E3
4.454801529E1,1.033989792E3
4.547577929E1,1.033991241E3
4.640356229E1,1.033991470E3
4.733147829E1,1.033991852E3
4.825945929E1,1.033992081E3
4.918748429E1,1.033993301E3
5.011550429E1,1.033994751E3
5.104349229E1,1.033994827E3
5.197148129E1,1.033995132E3
5.289936229E1,1.033995132E3
5.382731829E1,1.033995132E3
5.475528829E1,1.033995361E3
5.568329229E1,1.033996201E3
5.661121729E1,1.033996277E3
5.753924629E1,1.033997726E3
5.846722629E1,1.033997726E3
5.939532329E1,1.033997345E3
6.032332029E1,1.033997116E3
6.125129529E1,1.033997040E3
6.217925129E1,1.033997040E3
6.310718929E1,1.033997574E3
6.403518229E1,1.033998413E3
6.496314029E1,1.034000244E3
6.589106829E1,1.034002838E3
6.681891329E1,1.034005737E3
6.774695529E1,1.034006042E3
6.867494929E1,1.034007263E3
6.960290629E1,1.034007950E3
7.053077629E1,1.034009018E3
7.145879529E1,1.034009933E3
7.238680429E1,1.034012680E3
7.331481629E1,1.034014893E3
7.424283029E1,1.034016342E3
7.517084829E1,1.034018173E3
7.609894529E1,1.034019318E3
7.702710929E1,1.034019318E3
7.795530629E1,1.034019928E3
7.888363029E1,1.034020615E3
7.981193729E1,1.034020691E3
8.074015129E1,1.034021759E3
8.166828829E1,1.034023209E3
8.259639229E1,1.034023590E3
8.352443029E1,1.034025192E3
8.445246529E1,1.034026184E3
8.538054429E1,1.034026947E3
8.630866329E1,1.034027176E3
8.723678729E1,1.034029312E3
8.816487429E1,1.034029465E3
8.909297429E1,1.034030762E3
9.002102829E1,1.034031219E3
9.094903729E1,1.034031372E3
9.187704329E1,1.034031372E3
9.280518829E1,1.034030457E3
9.373329129E1,1.034030457E3
9.466139029E1,1.034030914E3
9.558953029E1,1.034032288E3
9.651762429E1,1.034034576E3
9.744576829E1,1.034036713E3
9.837397229E1,1.034038620E3
9.930210729E1,1.034040985E3
1.002301083E2,1.034045639E3
1.011581383E2,1.034048920E3
1.020863223E2,1.034053345E3
1.030145773E2,1.034057312E3
1.039428053E2,1.034062271E3
1.048710383E2,1.034063950E3
1.057992753E2,1.034071198E3
1.067275533E2,1.034079742E3
1.076556483E2,1.034079742E3
1.085836803E2,1.034077759E3
1.095117383E2,1.034076691E3
1.104397963E2,1.034069214E3
1.113677893E2,1.034057007E3
1.122957833E2,1.034048996E3
1.132238063E2,1.034045181E3
1.141516863E2,1.034040222E3
1.150796103E2,1.034037628E3
1.160077573E2,1.034036484E3
1.169359803E2,1.034036026E3
1.178643423E2,1.034035034E3
1.187927183E2,1.034034119E3
1.197210883E2,1.034033356E3
1.206492453E2,1.034032669E3
1.215774453E2,1.034030151E3
1.225055253E2,1.034029541E3
1.234336073E2,1.034029999E3
1.243616593E2,1.034029160E3
1.252898683E2,1.034029999E3
1.262181043E2,1.034032516E3
1.271462453E2,1.034033508E3
1.280744603E2,1.034035950E3
1.290027163E2,1.034038620E3
1.299309963E2,1.034041901E3
1.308593003E2,1.034041901E3
1.317875693E2,1.034040527E3
1.327158473E2,1.034037323E3
1.336440733E2,1.034033890E3
1.345720653E2,1.034028702E3
1.355002683E2,1.034023666E3
1.364283823E2,1.034023666E3
1.373566533E2,1.034024277E3
1.382848603E2,1.034024277E3
1.392130033E2,1.034023285E3
1.401412483E2,1.034022598E3
1.410695723E2,1.034022141E3
1.419979293E2,1.034018784E3
1.429262803E2,1.034017334E3
1.438546403E2,1.034015350E3
1.447830743E2,1.034010315E3
1.457114263E2,1.034003754E3
1.466396953E2,1.033999405E3
1.475680633E2,1.033991623E3
1.484965373E2,1.033984985E3
1.494249743E2,1.033981934E3
1.503533643E2,1.033981247E3
1.512817163E2,1.033978577E3
1.522098953E2,1.033977280E3
1.531380113E2,1.033976059E3
1.540661183E2,1.033976059E3
1.549942513E2,1.033976669E3
1.559226033E2,1.033977051E3
1.568509123E2,1.033977051E3
1.577792093E2,1.033976059E3
1.587074873E2,1.033974304E3
1.596357113E2,1.033973160E3
1.605639993E2,1.033971252E3
1.614923103E2,1.033968887E3
1.624206213E2,1.033966293E3
1.633489053E2,1.033961105E3
1.642771653E2,1.033954926E3
1.652056543E2,1.033948746E3
1.661340753E2,1.033943481E3
1.670625193E2,1.033938904E3
1.679909863E2,1.033937988E3
1.689192883E2,1.033937988E3
1.698479003E2,1.033939438E3
1.707763473E2,1.033942642E3
1.717047823E2,1.033946686E3
1.726332123E2,1.033949127E3
1.735617133E2,1.033951721E3
1.744902183E2,1.033954926E3
1.754188133E2,1.033954926E3
1.763474183E2,1.033953857E3
1.772760153E2,1.033953400E3
1.782046353E2,1.033953171E3
1.791331963E2,1.033952637E3
1.800617743E2,1.033952332E3
1.809904383E2,1.033952255E3
1.819190123E2,1.033951797E3
1.828475283E2,1.033948517E3
1.837761213E2,1.033945694E3
1.847047073E2,1.033943176E3
1.856333003E2,1.033939056E3
1.865618683E2,1.033934479E3
1.874904473E2,1.033931732E3
1.884190663E2,1.033927155E3
1.893476763E2,1.033922424E3
1.902761353E2,1.033918533E3
1.912045593E2,1.033913040E3
1.921330213E2,1.033907394E3
1.930614293E2,1.033902206E3
1.939898843E2,1.033899231E3
1.949183443E2,1.033895187E3
1.958468663E2,1.033891678E3
1.967753483E2,1.033888397E3
1.977037643E2,1.033886490E3
1.986322303E2,1.033882141E3
1.995607873E2,1.033878784E3
2.004893553E2,1.033874435E3
2.014178573E2,1.033870316E3
2.023464533E2,1.033865433E3
2.032750373E2,1.033860321E3
2.042036513E2,1.033857193E3
2.051322323E2,1.033857193E3
2.060606323E2,1.033857269E3
2.069890793E2,1.033859787E3
2.079174693E2,1.033863602E3
2.088457873E2,1.033864441E3
2.097741573E2,1.033864441E3
2.107027453E2,1.033864975E3
2.116313803E2,1.033865356E3
2.125600513E2,1.033866806E3
2.134886643E2,1.033873062E3
2.144172763E2,1.033880844E3
2.153459583E2,1.033889160E3
2.162746333E2,1.033897781E3
