"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.717854292E0,-3.689045012E-1,1.198994964E-1,1.054043695E-1
1.737771292E0,-3.909031749E-1,7.164373994E-2,7.534115762E-2
1.757688542E0,-3.625865877E-1,3.476567194E-2,2.716099843E-2
1.777605542E0,-2.961242795E-1,-2.240773663E-2,1.225501392E-2
1.797522542E0,-2.337387651E-1,-9.219378978E-2,8.461560309E-2
1.817439542E0,-1.964908540E-1,-2.197685987E-1,1.519047618E-1
1.837355542E0,-1.810750365E-1,-3.085566759E-1,1.794413626E-1
1.857272542E0,-1.404919624E-1,-2.921991348E-1,1.693189144E-1
1.877189542E0,-9.089552611E-2,-1.852566302E-1,1.550083160E-1
1.897106542E0,-7.134391367E-2,-7.418530993E-3,1.265663952E-1
1.917023542E0,-6.143965572E-2,1.754098535E-1,7.706979662E-2
1.936940542E0,-6.011082232E-2,3.366197348E-1,2.018497139E-2
1.956857542E0,-7.395318896E-2,4.250369668E-1,-4.737892374E-2
1.976774542E0,-7.567171007E-2,4.674905241E-1,-1.230965629E-1
1.996691542E0,-1.148195006E-2,5.189993382E-1,-1.765415370E-1
2.016608542E0,8.758661151E-2,5.740779042E-1,-1.878996938E-1
2.036524542E0,1.726429760E-1,6.321381330E-1,-1.608620733E-1
2.056441542E0,2.045564055E-1,6.554704309E-1,-9.446667135E-2
2.076358542E0,1.808597744E-1,6.727471352E-1,7.268086076E-3
2.096275542E0,1.283743829E-1,6.550513506E-1,1.332863420E-1
2.116192542E0,7.300775498E-2,6.145726442E-1,2.400782853E-1
2.136109542E0,4.580103233E-2,5.443924069E-1,3.081605434E-1
2.156026542E0,5.351729691E-2,4.378522933E-1,3.498106301E-1
2.175943542E0,1.130366474E-1,3.114926219E-1,3.784753084E-1
2.195860542E0,2.270868719E-1,1.908745170E-1,3.949503303E-1
2.215777542E0,3.161191940E-1,8.439350873E-2,3.642416298E-1
2.235693542E0,3.545717597E-1,4.654831439E-2,3.206149340E-1
2.255610542E0,3.531775177E-1,4.637233913E-2,3.066814244E-1
2.275527542E0,2.922158539E-1,1.925358735E-2,3.235534728E-1
2.295444542E0,2.247292697E-1,-4.585319385E-2,3.382798135E-1
2.315361542E0,2.322137207E-1,-1.165983379E-1,3.972361088E-1
2.335278542E0,3.158396780E-1,-1.248846278E-1,4.695957899E-1
2.355195542E0,2.923908234E-1,-1.534959376E-1,5.127683878E-1
2.375112542E0,1.865897775E-1,-2.855657935E-1,5.388025641E-1
2.395029542E0,7.534496486E-2,-4.330322742E-1,5.199376941E-1
2.414946542E0,2.899137326E-2,-5.662473440E-1,4.994465113E-1
2.434863542E0,8.006941527E-2,-6.345444918E-1,5.358221531E-1
2.454779542E0,1.755400896E-1,-6.220248938E-1,6.039498448E-1
2.474696542E0,2.095813602E-1,-5.577421188E-1,6.582787037E-1
2.494613542E0,1.643904448E-1,-4.281414151E-1,6.654022932E-1
2.514530542E0,9.302620590E-2,-2.573408186E-1,6.436021924E-1
2.534447542E0,2.592517622E-2,-1.006403342E-1,6.079583168E-1
2.554364542E0,-2.488290705E-2,4.167779535E-2,5.412210822E-1
2.574281542E0,-5.286540091E-2,1.418270469E-1,4.750335515E-1
2.594198542E0,-6.460000575E-2,1.946023256E-1,4.406757057E-1
2.614115542E0,-6.810411811E-2,2.463208139E-1,4.055500627E-1
2.634032542E0,-8.195507526E-2,3.135510087E-1,3.681004345E-1
2.653948542E0,-1.037661731E-1,3.705527484E-1,3.200096190E-1
2.673865542E0,-1.255700737E-1,4.270516932E-1,2.566341162E-1
2.693782542E0,-1.320746392E-1,4.539188147E-1,1.649016440E-1
2.713699542E0,-1.277062893E-1,4.497227967E-1,6.488436460E-2
2.733616542E0,-1.103750616E-1,3.838679492E-1,-3.085104749E-2
2.753533917E0,-6.536525488E-2,2.573572099E-1,-1.084570438E-1
2.773450917E0,-4.331907630E-2,1.096439138E-1,-1.694700569E-1
2.793367917E0,-7.834844291E-2,-5.146872625E-2,-1.819266230E-1
2.813284917E0,-1.975927353E-1,-2.026576847E-1,-1.827157140E-1
2.833200917E0,-3.302889466E-1,-3.144794703E-1,-1.986628473E-1
2.853117917E0,-4.430978596E-1,-4.025832713E-1,-2.277607918E-1
2.873034917E0,-5.170704126E-1,-4.757858515E-1,-2.530664206E-1
2.892951917E0,-4.978688061E-1,-4.414029121E-1,-2.213525772E-1
2.912868917E0,-4.106258154E-1,-3.770418167E-1,-1.597929448E-1
2.932785917E0,-3.505183458E-1,-3.504875898E-1,-1.489890069E-1
2.952702917E0,-2.875485718E-1,-3.596737385E-1,-1.765213311E-1
2.972619917E0,-2.019334435E-1,-3.538556695E-1,-1.988609880E-1
2.992536917E0,-1.116181985E-1,-3.327735662E-1,-2.061639130E-1
3.012453917E0,-3.661529720E-2,-2.587783337E-1,-2.160530090E-1
3.032369917E0,2.370831091E-3,-1.303289384E-1,-2.627742887E-1
3.052286917E0,-1.432673354E-2,2.673027664E-2,-3.339506388E-1
3.072203917E0,-5.774921551E-2,1.970499307E-1,-4.200005531E-1
3.092120917E0,-1.104110405E-1,3.105355501E-1,-5.139927268E-1
3.112037917E0,-1.283152103E-1,3.575926423E-1,-5.799217820E-1
3.131954917E0,-9.231990576E-2,3.776018620E-1,-5.817534924E-1
3.151871917E0,-9.218767285E-3,3.973594904E-1,-5.381833911E-1
3.171788917E0,7.823267579E-2,4.175848961E-1,-4.922106862E-1
3.191705917E0,1.397747695E-1,4.015194476E-1,-4.611088634E-1
3.211622917E0,1.697260141E-1,3.447323143E-1,-4.383404255E-1
3.231538917E0,1.821629852E-1,2.779026926E-1,-4.088669419E-1
3.251455917E0,1.814845502E-1,1.900199205E-1,-3.884238601E-1
3.271372917E0,1.610289812E-1,7.074142247E-2,-3.663586378E-1
3.291289917E0,1.538416892E-1,-4.368603975E-2,-3.233926594E-1
3.311206917E0,1.924417019E-1,-1.359238625E-1,-2.477542311E-1
3.331123917E0,2.337271720E-1,-2.030675709E-1,-1.451110840E-1
3.351040917E0,2.242299020E-1,-2.658492029E-1,-4.542989284E-2
3.370957917E0,1.434899569E-1,-3.181844056E-1,1.263689157E-2
3.390874917E0,5.213704333E-2,-3.190516233E-1,3.984826431E-2
3.410791917E0,3.445923701E-2,-3.549932837E-1,8.691389859E-2
3.430707917E0,8.694991469E-2,-4.460637867E-1,1.656860858E-1
3.450624917E0,1.443918645E-1,-4.593277872E-1,2.529685199E-1
3.470541917E0,1.155256331E-1,-4.232112169E-1,3.085966110E-1
3.490458917E0,4.782531410E-2,-3.579702675E-1,3.265572786E-1
3.510375917E0,4.296886921E-2,-2.788541913E-1,3.052483499E-1
