"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.614890292E0,3.826792145E0,7.191046143E-1,9.014703827E0
1.634807292E0,3.679797821E0,6.174659729E-1,9.199868774E0
1.654724292E0,3.549418945E0,6.526428223E-1,9.723030853E0
1.674641292E0,3.475921783E0,7.629634094E-1,1.034813095E1
1.694558292E0,3.686084747E0,7.677534485E-1,1.086470673E1
1.714475292E0,4.082909546E0,6.608757019E-1,1.136317017E1
1.734392292E0,4.666246490E0,3.550616455E-1,1.167616928E1
1.754309542E0,5.057682495E0,2.674937439E-1,1.185384979E1
1.774225542E0,4.525090027E0,2.966830444E-1,1.197075668E1
1.794142542E0,2.743644562E0,1.603166199E-1,1.187046524E1
1.814059542E0,1.141526184E0,1.285826111E-1,1.164398621E1
1.833976542E0,2.311193848E-1,1.407073975E-2,1.104029160E1
1.853893542E0,5.942642212E-2,-2.309696960E-1,1.059751236E1
1.873810542E0,1.417552185E-1,-5.040019226E-1,1.002689896E1
1.893727542E0,3.263214111E-1,-6.503974915E-1,9.231453094E0
1.913644542E0,6.198609924E-1,-6.026467896E-1,8.605454865E0
1.933561542E0,7.453001404E-1,-4.574487305E-1,8.172704773E0
1.953478542E0,9.699829102E-1,-2.628533936E-1,7.648195496E0
1.973395542E0,1.396146698E0,-3.724255371E-1,7.235803070E0
1.993311542E0,1.671573944E0,-4.957690430E-1,7.290589142E0
2.013228542E0,1.576970673E0,-4.849914551E-1,7.390581207E0
2.033145542E0,1.430275726E0,-3.236270142E-1,7.460485840E0
2.053062542E0,1.282233582E0,-1.055305481E-1,7.594307556E0
2.072979542E0,1.147364044E0,-5.837860107E-2,7.726183319E0
2.092896542E0,1.061293030E0,9.131011963E-3,7.963739319E0
2.112813542E0,1.191671906E0,-1.317260742E-2,8.207282867E0
2.132730542E0,1.649719391E0,-1.818717957E-1,8.665030975E0
2.152647542E0,2.075883179E0,-3.273692322E-1,9.257049866E0
2.172563542E0,2.439626770E0,-5.586383057E-1,9.942175140E0
2.192480542E0,2.433938599E0,-5.771997070E-1,1.072220306E1
2.212397542E0,2.338886261E0,-3.677851868E-1,1.124147324E1
2.232314542E0,2.325713654E0,-2.014810181E-1,1.168215683E1
2.252231542E0,2.155667267E0,-1.110690308E-1,1.238913666E1
2.272148542E0,2.083966370E0,-2.528242493E-1,1.263073425E1
2.292065542E0,2.304158478E0,-3.963757324E-1,1.263971558E1
2.311982542E0,2.365530853E0,-4.770579529E-1,1.281200729E1
2.331899542E0,1.893262939E0,-2.020797729E-2,1.321706497E1
2.351816542E0,9.815089417E-1,7.117698669E-1,1.283535873E1
2.371733542E0,-7.469467163E-2,1.035696259E0,1.221459961E1
2.391649542E0,-6.207591248E-1,1.137185211E0,1.159189453E1
2.411566542E0,-9.107061768E-1,1.350491638E0,1.112052475E1
2.431483542E0,-1.212927704E0,1.397493896E0,1.073328003E1
2.451400542E0,-1.162183228E0,1.461560669E0,1.021745270E1
2.471317542E0,-8.876541138E-1,1.500928802E0,9.352551270E0
2.491234542E0,-2.441423035E-1,1.267264709E0,8.319699097E0
2.511151542E0,4.251159668E-1,8.183482361E-1,7.558681641E0
2.531068542E0,9.310638428E-1,3.225791931E-1,7.111561432E0
2.550985542E0,1.244811401E0,6.960525513E-2,6.844217377E0
2.570902542E0,1.378184052E0,-3.023712158E-2,6.818919983E0
2.590818542E0,1.404828644E0,-1.242416382E-2,6.949298859E0
2.610735542E0,1.551373901E0,5.837860107E-2,7.162904663E0
2.630652542E0,1.763632507E0,1.224453735E-1,7.516319733E0
2.650569542E0,1.885179749E0,1.502874756E-1,7.800279236E0
2.670486542E0,1.986219635E0,1.441502380E-1,8.012687531E0
2.690403542E0,2.138453064E0,1.586700439E-1,8.333171082E0
2.710320542E0,2.298619995E0,9.654922485E-2,8.717871094E0
2.730237542E0,2.443368988E0,-4.340972900E-3,9.028026123E0
2.750154917E0,2.582579498E0,-1.136137390E-1,9.635462952E0
2.770071917E0,2.719844055E0,-2.263293457E-1,1.019170624E1
2.789987917E0,2.588417358E0,-2.372566223E-1,1.094943054E1
2.809904917E0,2.441872101E0,-1.716929626E-1,1.150268005E1
2.829821917E0,2.706521759E0,-1.221459961E-1,1.192495193E1
2.849738917E0,3.063978424E0,-3.966751099E-2,1.230441284E1
2.869655917E0,3.525917816E0,-1.408570862E-1,1.222328156E1
2.889572917E0,3.707041168E0,-5.935157776E-1,1.230770599E1
2.909489917E0,2.836601257E0,-8.379574585E-1,1.259570709E1
2.929406917E0,1.325792999E0,-5.920188904E-1,1.208616669E1
2.949323917E0,1.630110168E-1,-3.588038635E-1,1.158964920E1
2.969240917E0,-4.752616882E-1,-3.697311401E-1,1.118533997E1
2.989156917E0,-6.194119263E-1,-4.827461243E-1,1.058254349E1
3.009073917E0,-4.526586914E-1,-6.411167908E-1,9.886940002E0
3.028990917E0,5.418731689E-2,-6.878196716E-1,9.267378387E0
3.048907917E0,4.189787292E-1,-7.093748474E-1,8.553063812E0
3.068824917E0,6.551875305E-1,-7.336244202E-1,7.947423248E0
3.088741917E0,8.033793640E-1,-7.192543030E-1,7.623945923E0
3.108658917E0,8.997789001E-1,-7.402107239E-1,7.467970276E0
3.128575917E0,9.333091736E-1,-8.981323242E-1,7.487729187E0
3.148492917E0,1.011895752E0,-1.145118713E0,7.613916779E0
3.168409917E0,1.152453461E0,-1.215322723E0,7.781568146E0
3.188325917E0,1.250948639E0,-1.194366302E0,7.957003326E0
3.208242917E0,1.257085876E0,-1.055604858E0,8.410560150E0
3.228159917E0,1.280137939E0,-1.050216064E0,8.777147827E0
3.248076917E0,1.400787048E0,-1.061442719E0,9.215286713E0
3.267993917E0,1.600322113E0,-1.089434509E0,9.402247925E0
3.287910917E0,1.789528656E0,-1.187330933E0,9.663903809E0
3.307827917E0,1.876497803E0,-1.202599182E0,1.024499542E1
3.327744917E0,1.789678345E0,-1.076860657E0,1.069840256E1
3.347661917E0,1.564995575E0,-7.884104919E-1,1.103220840E1
3.367577917E0,1.549128571E0,-4.213737488E-1,1.111812973E1
3.387494917E0,1.804497528E0,-2.204914856E-1,1.113998428E1
3.407411917E0,2.181862793E0,-3.171903992E-1,1.122620499E1
3.427328917E0,2.316283264E0,-3.350033569E-1,1.123758133E1
3.447245917E0,2.380050659E0,-8.831634521E-2,1.125419678E1
3.467162917E0,2.186952209E0,4.845423889E-1,1.127320724E1
3.487079917E0,1.781894531E0,8.925938416E-1,1.090093140E1
3.506996917E0,1.312321014E0,9.027726746E-1,1.062909668E1
3.526913917E0,1.056353302E0,7.997868347E-1,1.073387878E1
3.546830917E0,7.289840698E-1,8.988807678E-1,1.071651489E1
3.566746917E0,2.853067017E-1,1.228495331E0,1.062625259E1
3.586663917E0,7.394622803E-2,1.424138489E0,1.021191422E1
3.606580917E0,2.716850281E-1,1.184935913E0,9.738748169E0
3.626497917E0,6.465055847E-1,6.890171814E-1,9.149723053E0
3.646414917E0,1.130149841E0,3.206332397E-1,8.401279449E0
3.666331917E0,1.669627991E0,6.286926270E-2,7.792345734E0
3.686248917E0,2.157912598E0,-1.299298096E-1,7.282505951E0
3.706165917E0,2.524649963E0,-2.667453003E-1,7.059320068E0
3.726082917E0,2.651436310E0,-1.808239746E-1,7.088808746E0
3.745998458E0,2.589764557E0,6.541397095E-2,7.258705444E0
3.765915459E0,2.472707977E0,3.144960022E-1,7.534881134E0
3.785832459E0,2.368973694E0,4.772076416E-1,7.929161224E0
3.805749459E0,2.240091705E0,6.110293579E-1,8.226293335E0
3.825666458E0,2.260898438E0,5.893244934E-1,8.577912140E0
3.845583458E0,2.343975677E0,5.060975647E-1,9.116641846E0
3.865500459E0,2.413880310E0,5.689668274E-1,9.367071075E0
3.885417459E0,2.573298798E0,7.036866760E-1,9.466464386E0
3.905334459E0,2.871478729E0,7.375163269E-1,9.782606964E0
3.925251459E0,3.092269592E0,6.400689697E-1,1.042102936E1
3.945167459E0,3.277733917E0,5.942642212E-1,1.111109436E1
3.965084459E0,3.497626648E0,7.568261719E-1,1.155357422E1
3.985001458E0,3.787573700E0,6.038442993E-1,1.146016846E1
4.004918458E0,4.038451996E0,6.960525513E-2,1.148142426E1
4.024835458E0,3.697910156E0,-6.491999817E-1,1.188139252E1
4.044752459E0,2.533780975E0,-9.002279663E-1,1.178813644E1
4.064669459E0,1.178199921E0,-7.685018921E-1,1.151974457E1
4.084586459E0,1.547781372E-1,-4.357438660E-1,1.115779724E1
4.104503458E0,-8.038284302E-2,-2.257305908E-1,1.051742889E1
4.124420458E0,2.158511353E-1,-3.415896606E-1,1.029753616E1
4.144336459E0,9.177415466E-1,-5.367837524E-1,9.990823975E0
4.164253458E0,1.351988525E0,-6.581813049E-1,9.401349792E0
4.184170458E0,1.462907867E0,-7.298822021E-1,9.021589508E0
4.204087459E0,1.241518250E0,-7.307803345E-1,8.548573151E0
4.224004459E0,1.088536377E0,-6.283932495E-1,8.002658386E0
4.243921459E0,1.142274628E0,-6.469546509E-1,7.675887909E0
4.263838458E0,1.253643036E0,-7.500901794E-1,7.659422150E0
4.283755458E0,1.267564087E0,-7.009922791E-1,7.676336975E0
4.303672459E0,1.261576538E0,-4.902305603E-1,7.607480164E0
4.323588458E0,1.267564087E0,-4.562512207E-1,7.714208221E0
4.343505458E0,1.357826385E0,-5.631289673E-1,8.074209595E0
4.363422459E0,1.505569153E0,-6.007008362E-1,8.300538940E0
4.383339459E0,1.603764954E0,-6.195616150E-1,8.472830658E0
4.403256459E0,1.648072815E0,-6.888674927E-1,8.938063202E0
4.423173458E0,1.843266907E0,-8.207432556E-1,9.537416840E0
4.443090458E0,1.934277649E0,-8.943901062E-1,1.006716522E1
4.463007458E0,2.051483917E0,-8.617579651E-1,1.064346680E1
4.482924459E0,2.161355438E0,-4.990621948E-1,1.108489883E1
4.502840458E0,2.164798279E0,-3.210823059E-1,1.138397690E1
4.522757459E0,2.171833649E0,-3.637435913E-1,1.148935776E1
4.542674459E0,2.318528595E0,-4.893324280E-1,1.170535858E1
4.562591459E0,2.349663849E0,-5.634283447E-1,1.214229996E1
4.582508459E0,2.311193848E0,-7.873626709E-2,1.237132370E1
4.602425458E0,1.916614380E0,7.911048889E-1,1.219558914E1
4.622342458E0,1.304237823E0,1.270108795E0,1.186432800E1
4.642259459E0,9.707313538E-1,1.451531525E0,1.162901733E1
4.662176459E0,8.620573425E-1,1.615889740E0,1.119551880E1
4.682092458E0,7.216493225E-1,1.679657135E0,1.060020676E1
4.702009459E0,6.804849243E-1,1.498384094E0,1.007000931E1
4.721926459E0,7.946974182E-1,9.104067993E-1,9.611812134E0
4.741843459E0,1.185983734E0,3.388952637E-1,8.815318451E0
4.761760542E0,1.656006317E0,-3.891906738E-3,8.105793915E0
4.781677542E0,2.021546173E0,-2.875520325E-1,7.505691833E0
4.801594542E0,2.268682251E0,-4.885839844E-1,7.136709137E0
4.821511542E0,2.496209106E0,-5.842350769E-1,7.019802246E0
4.841428542E0,2.772384796E0,-6.755451965E-1,7.109016724E0
4.861345542E0,2.935545502E0,-7.908055115E-1,7.484735413E0
4.881261542E0,2.887046356E0,-6.965016174E-1,7.794141998E0
4.901178542E0,2.679577789E0,-2.520758057E-1,7.930059357E0
4.921095542E0,2.716550903E0,7.634124756E-3,8.350834351E0
4.941012542E0,2.889740753E0,2.113604736E-1,8.848249969E0
4.960929542E0,3.239862671E0,3.445834351E-1,9.098529510E0
4.980846542E0,3.695515137E0,4.754113770E-1,9.355395355E0
5.000763542E0,4.046235809E0,4.781057739E-1,9.770931244E0
5.020680542E0,4.257596283E0,3.999682617E-1,1.032732422E1
5.040597542E0,4.181404724E0,3.549119568E-1,1.076785812E1
5.060513542E0,4.146976318E0,4.972659302E-1,1.110690308E1
5.080430542E0,4.177812195E0,7.214996338E-1,1.114612152E1
5.100347542E0,4.207899628E0,5.975573730E-1,1.126572281E1
5.120264542E0,3.903283081E0,1.745370483E-1,1.195982941E1
5.140181542E0,3.286715240E0,-9.370513916E-2,1.174951675E1
5.160098542E0,2.417472839E0,-2.643502808E-1,1.153770721E1
5.180015542E0,1.581611023E0,-2.704875183E-1,1.110360992E1
5.199932542E0,1.267863464E0,-3.399430847E-1,1.064690964E1
5.219849542E0,1.223555603E0,-7.403604126E-1,1.064885559E1
5.239765542E0,1.257684631E0,-9.009764099E-1,9.985884247E0
5.259682542E0,1.449136505E0,-6.930587769E-1,8.955876160E0
5.279599542E0,1.594334564E0,-3.336561584E-1,8.423732758E0
5.299516542E0,1.692230988E0,-1.451980591E-2,8.231382751E0
5.319433542E0,1.682950287E0,2.345622253E-1,7.842192078E0
5.339350542E0,1.760039978E0,3.818559265E-1,7.303911438E0
5.359267542E0,2.057621155E0,3.948788452E-1,7.150480499E0
5.379184542E0,2.379302216E0,3.718267822E-1,7.379055176E0
5.399101542E0,2.547402649E0,4.305047607E-1,7.714806976E0
5.419017542E0,2.472109222E0,8.117619324E-1,8.078101501E0
5.438934542E0,2.584226074E0,9.439370728E-1,8.251590729E0
5.458851542E0,2.774630127E0,9.330097961E-1,8.277187500E0
5.478768542E0,2.732866974E0,1.019529877E0,8.539142761E0
5.498685542E0,2.950514374E0,7.475454712E-1,8.820258179E0
5.518602542E0,3.100502472E0,4.893324280E-1,9.052575073E0
5.538519542E0,3.210373993E0,4.700225830E-1,9.164242859E0
5.558436542E0,3.500770111E0,5.331912231E-1,9.402397614E0
5.578353542E0,3.503763885E0,6.701564026E-1,1.001597168E1
5.598269542E0,3.027154999E0,8.385562134E-1,1.061996567E1
5.618186542E0,2.945424957E0,9.607022095E-1,1.058029816E1
5.638103542E0,3.075803833E0,1.157393188E0,1.048404831E1
5.658020542E0,3.262016602E0,1.383572845E0,1.066217789E1
5.677937542E0,3.273542633E0,1.854194183E0,1.093610825E1
5.697854542E0,2.752326508E0,2.511627045E0,1.090646988E1
5.717771542E0,1.728605347E0,3.027154999E0,1.083536774E1
5.737688542E0,7.887098694E-1,3.225342865E0,1.087623276E1
5.757605792E0,3.870950317E-1,2.756517792E0,1.079360458E1
5.777521792E0,8.219407654E-1,2.570305023E0,1.027538223E1
5.797438792E0,1.451681213E0,2.477947083E0,9.857151947E0
5.817355792E0,1.540147247E0,2.016307068E0,9.535919952E0
