"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.680058479E-3,3.211638133E1,1.189512177E2,1.634415078E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
7.680058479E-3,3.211638650E1,1.189512385E2,1.634126592E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
5.939504027E0,3.211631723E1,1.189512950E2,1.627597857E1,-1.000000000E0,-1.000000000E0,5.042846193E1,5.042846193E1
1.315920007E1,3.211603232E1,1.189510852E2,1.630347347E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
1.961787903E1,3.211603343E1,1.189511402E2,1.628679776E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
2.615117300E1,3.211589690E1,1.189509592E2,1.627248287E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.217497003E1,3.211579240E1,1.189509415E2,1.622882295E1,-1.000000000E0,-1.000000000E0,4.704300814E1,4.704300814E1
3.267486310E1,3.211584912E1,1.189509042E2,1.621899605E1,-1.000000000E0,-1.000000000E0,3.800000000E1,3.800000000E1
3.909034705E1,3.211573208E1,1.189507980E2,1.627520776E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.552820206E1,3.211571759E1,1.189507742E2,1.616934514E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.198719609E1,3.211559405E1,1.189507557E2,1.607423520E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.846515310E1,3.211558198E1,1.189506804E2,1.604500127E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.495332599E1,3.211566345E1,1.189507478E2,1.603859067E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.147608709E1,3.211561892E1,1.189506992E2,1.606115842E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.079500604E1,3.211545556E1,1.189506076E2,1.617880321E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.724538803E1,3.211544378E1,1.189503325E2,1.644217587E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.366281104E1,3.211551798E1,1.189503982E2,1.666228938E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.001720210E2,3.211551633E1,1.189502397E2,1.671314692E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.065718640E2,3.211542775E1,1.189503639E2,1.658877850E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.125796781E2,3.211535994E1,1.189503184E2,1.654995108E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.190241261E2,3.211521619E1,1.189502845E2,1.654844236E1,-1.000000000E0,-1.000000000E0,4.700000000E1,4.700000000E1
1.254228060E2,3.211525744E1,1.189502966E2,1.645233274E1,-1.000000000E0,-1.000000000E0,3.600000000E1,3.600000000E1
1.318442560E2,3.211516067E1,1.189501261E2,1.652889681E1,-1.000000000E0,-1.000000000E0,3.800000000E1,3.800000000E1
1.384684660E2,3.211500233E1,1.189502178E2,1.651554441E1,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
1.448771161E2,3.211496709E1,1.189502869E2,1.644412994E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.512692010E2,3.211489141E1,1.189503096E2,1.641607404E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.577248310E2,3.211482571E1,1.189502736E2,1.641803336E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.641244601E2,3.211478136E1,1.189502648E2,1.637706232E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.701847620E2,3.211473840E1,1.189503309E2,1.633356714E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.766043110E2,3.211454745E1,1.189503542E2,1.631507874E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.830332141E2,3.211443839E1,1.189504313E2,1.620156837E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.895057280E2,3.211427772E1,1.189503872E2,1.601884270E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.961524360E2,3.211434141E1,1.189506010E2,1.582642603E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.026319160E2,3.211431900E1,1.189506273E2,1.571628237E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.090557660E2,3.211427841E1,1.189504861E2,1.572346616E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.155381230E2,3.211434805E1,1.189503697E2,1.572462964E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.219258370E2,3.211435965E1,1.189504181E2,1.569856405E1,-1.000000000E0,-1.000000000E0,4.600000000E1,4.600000000E1
2.285364910E2,3.211430632E1,1.189504053E2,1.568804574E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.345956861E2,3.211429462E1,1.189504015E2,1.566381359E1,-1.000000000E0,-1.000000000E0,4.753063449E1,4.753063449E1
2.411161151E2,3.211403526E1,1.189504783E2,1.540704775E1,-1.000000000E0,-1.000000000E0,4.400000000E1,4.400000000E1
2.476438011E2,3.211386273E1,1.189504000E2,1.535739374E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
