"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.000041798E-3,1.246306534E0,5.149652327E-1,2.799061548E0
2.491604211E-2,5.481706202E-2,1.245190447E0,3.079615633E0
4.483304173E-2,-1.406358568E0,1.352948931E0,2.476477677E0
6.475004181E-2,-2.304202917E0,1.333719485E0,2.200042371E0
8.466704190E-2,-2.504730839E0,1.324841511E0,2.403648852E0
1.045840420E-1,-2.713818499E0,1.393016830E0,2.275833980E0
1.245010421E-1,-2.859616483E0,1.497278970E0,1.424177665E0
1.444180417E-1,-2.550244396E0,1.476305885E0,4.972577441E-1
1.643350418E-1,-2.089818555E0,1.282440719E0,-3.763080883E-1
1.842520419E-1,-1.571612577E0,1.135487618E0,-1.230760542E0
2.041690419E-1,-1.079101017E0,9.542356275E-1,-1.875908403E0
2.240860420E-1,-7.002865201E-1,7.021431573E-1,-2.235823238E0
2.440030421E-1,-6.193753812E-1,5.404859170E-1,-2.190309681E0
2.639190420E-1,-6.550928056E-1,4.303128259E-1,-2.059427360E0
2.838360420E-1,-7.234493878E-1,3.033183186E-1,-1.897986320E0
3.037530417E-1,-7.776238409E-1,1.979232797E-1,-1.658676741E0
3.236700417E-1,-7.033726805E-1,2.495752439E-1,-1.483451475E0
3.435870418E-1,-7.092462087E-1,3.055902542E-1,-1.220130304E0
3.635040419E-1,-5.441784337E-1,3.210654952E-1,-1.065951506E0
3.834210420E-1,-1.069426507E-1,2.644102147E-1,-8.839569193E-1
4.033380421E-1,4.004620591E-1,2.240942475E-1,-7.309884953E-1
4.232550417E-1,8.522650105E-1,1.517136115E-1,-6.038706118E-1
4.431720418E-1,1.027102898E0,1.228500009E-1,-2.271964878E-1
4.630890419E-1,8.817960808E-1,1.031074619E-1,2.295470685E-1
4.830060420E-1,7.996657974E-1,2.223359898E-1,8.361763966E-1
5.029220418E-1,8.549073672E-1,3.349435692E-1,1.597391489E0
5.228390419E-1,1.064020756E0,4.176571123E-1,2.085238724E0
5.427560420E-1,1.512933429E0,3.797736965E-1,2.407315641E0
5.626730421E-1,1.876015700E0,1.864593749E-1,2.769349506E0
5.825900417E-1,1.504518993E0,1.806726779E-1,2.815607999E0
6.025070418E-1,1.804880521E-1,3.371420491E-1,2.377067994E0
6.224240419E-1,-1.455410860E0,4.327601780E-1,2.019751078E0
6.423410419E-1,-2.201689239E0,1.455182307E-1,1.776986963E0
6.622580420E-1,-2.501041830E0,-1.504244466E-1,1.372330404E0
6.821750421E-1,-2.516376153E0,-3.362716180E-1,6.858813196E-1
7.020920417E-1,-2.453292590E0,-2.986915630E-1,1.641763669E-1
7.220090418E-1,-2.196191980E0,-1.057244564E-1,-4.665259480E-1
7.419252917E-1,-1.953560889E0,1.264614605E-1,-8.545705676E-1
7.618422918E-1,-1.709515649E0,9.644744676E-2,-1.048577675E0
7.817592919E-1,-1.345756271E0,-1.511280128E-1,-1.283455650E0
8.016762920E-1,-9.908077687E-1,-3.581874939E-1,-1.385386652E0
8.215932921E-1,-7.353350231E-1,-3.983131342E-1,-1.563819700E0
8.415102917E-1,-6.497905505E-1,-3.077384482E-1,-1.560293829E0
8.614272918E-1,-7.816309378E-1,-2.334753741E-1,-1.489962934E0
8.813442918E-1,-8.668237004E-1,-1.747325646E-1,-1.355888618E0
9.012612919E-1,-8.459155190E-1,-4.954733200E-2,-1.064833519E0
9.211782920E-1,-7.699955633E-1,3.090019584E-2,-8.593009651E-1
9.410952921E-1,-5.513132063E-1,3.967240803E-2,-7.034253055E-1
9.610112919E-1,-2.911770138E-1,5.551565811E-3,-4.375138181E-1
9.809282920E-1,-7.334045649E-2,-2.552017272E-2,-1.939193988E-1
1.000845292E0,4.673831499E-1,-1.959018242E-1,4.762264788E-2
1.020762292E0,7.326876962E-1,-2.897271236E-1,4.989785796E-1
1.040679292E0,8.629607373E-1,-2.108102506E-1,1.011743140E0
1.060596292E0,8.107534339E-1,1.120740940E-1,1.384468054E0
1.080513292E0,7.567627296E-1,3.871791586E-1,1.496289037E0
1.100430292E0,7.696017534E-1,2.152509917E-1,1.627422203E0
1.120347292E0,1.092416589E0,-7.183991477E-2,2.254764124E0
1.140264292E0,7.938213591E-1,1.195259319E-1,2.911701141E0
1.160181292E0,1.934516215E-1,3.610082638E-1,2.478045900E0
1.180097292E0,-7.035134523E-1,4.202479040E-1,2.231634293E0
1.200014292E0,-1.273228869E0,5.245048188E-1,2.061461606E0
1.219931292E0,-1.529515109E0,7.029673954E-1,1.699527728E0
1.239848292E0,-1.605651412E0,8.184097780E-1,1.425872188E0
1.259765292E0,-1.631033444E0,9.715346150E-1,7.680434704E-1
1.279682292E0,-1.460726856E0,1.124791526E0,-1.380398977E-1
1.299599292E0,-1.098231938E0,1.093707362E0,-9.286243844E-1
1.319516292E0,-8.898093975E-1,8.201643082E-1,-1.466582258E0
1.339433292E0,-6.959432083E-1,4.544942786E-1,-1.804862394E0
1.359350292E0,-4.284401089E-1,2.027706215E-1,-2.065743522E0
1.379267292E0,-2.162162939E-1,1.612287855E-1,-2.048544522E0
1.399184292E0,-1.269401282E-2,2.313653333E-1,-2.059155464E0
1.419100292E0,1.672628197E-1,3.788598863E-1,-1.850083006E0
1.439017292E0,1.832885760E-1,4.322972978E-1,-1.651752468E0
1.458934292E0,1.620378940E-1,4.693244255E-1,-1.340970617E0
1.478851292E0,1.908732918E-1,5.655777081E-1,-1.079443372E0
1.498768292E0,3.819262393E-1,5.843073997E-1,-9.349311912E-1
1.518685292E0,6.714401588E-1,5.373825073E-1,-7.861417723E-1
1.538602292E0,9.652038346E-1,5.100863159E-1,-7.251757783E-1
1.558519292E0,1.328383608E0,4.958930770E-1,-7.562467128E-1
1.578436292E0,1.665745732E0,4.482697713E-1,-7.446522689E-1
1.598353292E0,1.809256285E0,3.024100267E-1,-6.696646518E-1
1.618269292E0,1.750611489E0,1.474383832E-1,-5.407581049E-1
1.638186292E0,1.624641706E0,7.501681667E-2,-2.800868922E-1
1.658103292E0,1.505495624E0,1.766282319E-1,3.108561105E-1
1.678020292E0,1.518789269E0,3.149276363E-1,8.694751203E-1
1.697937292E0,1.819855532E0,3.421664154E-1,1.415070627E0
1.717854292E0,2.281667163E0,2.461960649E-1,1.831083063E0
1.737771292E0,2.847579405E0,1.885105781E-2,2.117475008E0
1.757688542E0,3.122418129E0,7.680836700E-2,2.273107424E0
1.777605542E0,2.212418003E0,1.278365064E-1,2.344801889E0
1.797522542E0,3.443321510E-1,4.125611725E-2,2.216978247E0
1.817439542E0,-1.148130614E0,7.351777330E-2,1.904374988E0
1.837355542E0,-1.895547154E0,-5.817869939E-2,1.308601601E0
1.857272542E0,-2.035291661E0,-2.626925951E-1,8.977177566E-1
1.877189542E0,-1.967263839E0,-5.047670308E-1,2.638158453E-1
1.897106542E0,-1.770728104E0,-5.818169609E-1,-5.223387909E-1
1.917023542E0,-1.484815776E0,-4.833904874E-1,-1.084964313E0
1.936940542E0,-1.320305972E0,-2.808071961E-1,-1.529536890E0
1.956857542E0,-9.533607379E-1,-1.413723721E-1,-2.084352286E0
1.976774542E0,-4.442213054E-1,-2.767921324E-1,-2.408286864E0
1.996691542E0,-1.572485858E-1,-3.646183348E-1,-2.296807943E0
2.016608542E0,-2.074198888E-1,-3.391678901E-1,-2.239610479E0
2.036524542E0,-2.359956703E-1,-1.727675347E-1,-2.176622518E0
2.056441542E0,-2.655284947E-1,-3.022400189E-2,-2.090635704E0
2.076358542E0,-2.597960307E-1,-3.802331049E-2,-1.917162849E0
2.096275542E0,-1.946223803E-1,8.390731621E-4,-1.702080622E0
2.116192542E0,1.714333463E-1,-8.067958921E-2,-1.450681924E0
2.136109542E0,7.345351971E-1,-2.641581632E-1,-9.582902330E-1
2.156026542E0,1.278493995E0,-4.191624049E-1,-3.320259547E-1
2.175943542E0,1.622162633E0,-6.357123555E-1,3.557539558E-1
2.195860542E0,1.604089182E0,-6.225320005E-1,1.105438923E0
2.215777542E0,1.554783851E0,-4.517171435E-1,1.542369774E0
2.235693542E0,1.529318496E0,-3.447122200E-1,2.104500622E0
2.255610542E0,1.348059489E0,-3.726327478E-1,2.709634232E0
2.275527542E0,1.369645801E0,-5.994619574E-1,2.853239509E0
2.295444542E0,1.559249078E0,-7.660535167E-1,2.879896381E0
2.315361542E0,1.515826923E0,-8.401222439E-1,3.157827989E0
2.335278542E0,8.765949094E-1,-2.226453440E-1,3.413581109E0
2.355195542E0,-1.609055807E-1,3.362187373E-1,2.931476424E0
2.375112542E0,-1.175685326E0,5.382926264E-1,2.281122202E0
2.395029542E0,-1.665451325E0,6.654010083E-1,1.703187500E0
2.414946542E0,-2.085233607E0,8.469579314E-1,1.313484026E0
2.434863542E0,-2.437810625E0,8.741015104E-1,9.087146151E-1
2.454779542E0,-2.448857185E0,9.483330826E-1,3.273452586E-1
2.474696542E0,-2.206952757E0,9.196450346E-1,-5.984174985E-1
2.494613542E0,-1.630022314E0,5.828534164E-1,-1.564001548E0
2.514530542E0,-1.064736163E0,1.146084966E-1,-2.233908275E0
2.534447542E0,-6.532687667E-1,-3.364418451E-1,-2.612504379E0
2.554364542E0,-3.964757198E-1,-5.269726728E-1,-2.838372379E0
