"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.634440184E-1,3.211694715E1,1.189490800E2,1.756545305E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.052767301E1,3.211685447E1,1.189490839E2,1.761162186E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.705419803E1,3.211684616E1,1.189491375E2,1.768282127E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.328550506E1,3.211653264E1,1.189494562E2,1.781708813E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.104188800E1,3.211644991E1,1.189495258E2,1.788225031E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.904097605E1,3.211653048E1,1.189496455E2,1.782604074E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.549778605E1,3.211664382E1,1.189497659E2,1.763405561E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.268059206E1,3.211670929E1,1.189497945E2,1.751493597E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.915890205E1,3.211679485E1,1.189499411E2,1.742471933E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.558526099E1,3.211679256E1,1.189499840E2,1.738934851E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.203339410E1,3.211678736E1,1.189499443E2,1.721339607E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.846759009E1,3.211679795E1,1.189500743E2,1.711704135E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.502516508E1,3.211687465E1,1.189502403E2,1.701602483E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.010605061E2,3.211691925E1,1.189503063E2,1.698749256E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.223949411E2,3.211689814E1,1.189506030E2,1.694497156E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.229608910E2,3.211689103E1,1.189506099E2,1.693591738E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
