"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.157541621E-3,2.321672058E0,1.492845612E0,6.550677795E0
2.307554148E-2,2.769540710E0,1.182391205E0,7.272327118E0
4.299354134E-2,3.420087891E0,9.910890198E-1,8.883127441E0
6.291154167E-2,4.008813629E0,1.161434784E0,1.043914169E1
8.282954153E-2,4.537214813E0,1.584604797E0,1.160641434E1
1.027465416E-1,5.690416718E0,2.363734589E0,1.200413727E1
1.226645415E-1,7.507937164E0,2.972219238E0,1.330927322E1
1.425825413E-1,7.147037659E0,2.586920471E0,1.482606903E1
1.625005417E-1,4.618196411E0,2.554438019E0,1.424737244E1
1.824175413E-1,3.662134552E0,2.475402374E0,1.364098343E1
2.023355416E-1,3.880530396E0,2.135459290E0,1.361269226E1
2.222535415E-1,4.633464661E0,2.332299957E0,1.236174362E1
2.421715413E-1,4.883444824E0,1.999392242E0,1.034079620E1
2.620885414E-1,5.191204834E0,1.440005493E0,8.966504059E0
2.820065413E-1,5.486091614E0,1.227746887E0,8.351732483E0
3.019245416E-1,5.825136566E0,1.499282227E0,8.010142822E0
3.218425415E-1,4.762346649E0,1.608854370E0,7.824678497E0
3.417595415E-1,3.628903656E0,1.412163391E0,7.491770782E0
3.616842916E-1,3.494782562E0,1.277293854E0,7.003785553E0
3.816022915E-1,3.432961121E0,1.236578522E0,6.607409821E0
4.015202913E-1,3.380121002E0,1.034648438E0,6.320606232E0
4.214372914E-1,3.316652985E0,6.990463257E-1,5.853727112E0
4.413552913E-1,3.544329529E0,8.123606873E-1,5.390889587E0
4.612732916E-1,4.040547638E0,4.996609497E-1,5.378764801E0
4.811912915E-1,4.084556122E0,7.834707642E-1,5.853427734E0
5.011082916E-1,4.288282471E0,1.166673889E0,6.043083344E0
5.210262914E-1,4.645439758E0,1.659748535E0,5.956263885E0
5.409442913E-1,5.089715881E0,1.979333954E0,6.631210327E0
5.608622916E-1,5.201084290E0,2.103425903E0,7.995623016E0
5.807802915E-1,5.349725189E0,2.207160187E0,8.843459930E0
6.006972915E-1,5.157824249E0,2.427651672E0,9.883796539E0
6.206152914E-1,3.887266388E0,2.367476807E0,1.148022675E1
6.405332913E-1,2.296674042E0,2.294877777E0,1.249870880E1
6.604512916E-1,6.882687378E-1,2.017654266E0,1.317485275E1
6.803682917E-1,-5.538482666E-1,1.404379578E0,1.427252014E1
7.002862915E-1,1.890119476E0,5.017565918E-1,1.408525955E1
7.202042914E-1,4.314777374E0,-2.993774414E-4,1.254541168E1
7.401222913E-1,5.806874542E0,3.206332397E-1,1.202209991E1
7.600392913E-1,6.847660217E0,1.022673340E0,1.220202576E1
7.799572917E-1,6.173162842E0,1.146016846E0,1.147453857E1
7.998752915E-1,5.045108643E0,3.379971313E-1,1.072444839E1
8.197932914E-1,4.092190247E0,-3.203338623E-2,9.839039612E0
8.397102915E-1,3.106490021E0,-1.112187195E-1,9.366322632E0
8.596282913E-1,2.362986145E0,-1.691482544E-1,9.010213165E0
8.795462917E-1,2.708767090E0,-1.044827271E-1,8.569978638E0
8.994642915E-1,3.651057587E0,2.621049500E-1,8.385412445E0
9.193812916E-1,3.447031860E0,2.598596191E-1,8.817713470E0
