"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.019054141E-2,-8.527079821E-1,-6.572916359E-2,2.955636084E-1
5.010754149E-2,-8.413451910E-1,-1.377612650E-1,3.599211574E-1
7.002554135E-2,-7.465754151E-1,-3.820817471E-1,4.257223904E-1
8.994354168E-2,-6.515974998E-1,-6.364199519E-1,4.134495854E-1
1.098615415E-1,-5.651578307E-1,-4.290290475E-1,2.568690777E-1
1.297795414E-1,-4.672443867E-1,3.283974528E-1,-1.930423453E-2
1.496965415E-1,-4.302380383E-1,8.533746004E-1,-3.093532920E-1
1.696145413E-1,-4.365550578E-1,8.002390265E-1,-4.848915637E-1
1.895325417E-1,-2.269944400E-1,3.383209705E-1,-4.538055360E-1
2.094505415E-1,-5.003643408E-2,2.931721509E-2,-3.479521275E-1
2.293675416E-1,2.423353493E-2,-7.926319540E-2,-2.248919755E-1
2.492855415E-1,3.060705215E-2,-1.329962611E-1,-2.858622745E-2
2.692035413E-1,-2.599598281E-2,-9.756761789E-2,1.513580084E-1
2.891215417E-1,-1.030236483E-1,-1.011411697E-1,1.897657812E-1
3.090385413E-1,-1.305500865E-1,-1.015522331E-1,1.220706552E-1
3.289565416E-1,-9.772145003E-2,-1.037798077E-1,1.314743608E-1
3.488745415E-1,-5.016336218E-2,-1.230762899E-1,1.258943975E-1
3.687992916E-1,-5.149653181E-3,-1.444177032E-1,8.895410597E-2
3.887162916E-1,4.710689187E-2,-1.581861079E-1,3.344905376E-2
4.086342915E-1,7.829560339E-2,-1.173251122E-1,-2.295766026E-2
4.285522914E-1,7.119560987E-2,-6.478774548E-2,-6.053799391E-2
4.484702917E-1,3.431572020E-2,-1.953608915E-2,-5.780837685E-2
4.683872913E-1,1.307019591E-2,3.105813637E-2,-2.845917642E-2
4.883052916E-1,3.920502588E-2,8.652297407E-2,-2.116226032E-2
5.082232915E-1,6.232909486E-2,1.691493094E-1,-7.410554588E-2
5.281412913E-1,6.180652231E-2,2.737585902E-1,-1.601168513E-1
5.480582914E-1,1.006321162E-1,3.264104724E-1,-2.201524228E-1
5.679762913E-1,2.354958206E-1,2.945759594E-1,-2.383738458E-1
5.878942916E-1,4.249976277E-1,2.419225425E-1,-2.229394764E-1
6.078122915E-1,5.695642829E-1,2.604393363E-1,-1.209077388E-1
6.277292916E-1,5.651305914E-1,3.430600166E-1,1.661168970E-2
6.476472914E-1,4.489561915E-1,5.147472620E-1,1.851143837E-1
6.675652913E-1,3.977639973E-1,7.964529991E-1,4.327920973E-1
6.874832916E-1,4.612771869E-1,9.802141786E-1,6.335628033E-1
7.074002917E-1,3.587818146E-1,9.203138351E-1,5.106064081E-1
7.273182916E-1,1.988493204E-1,7.387418151E-1,3.800622523E-1
7.472362914E-1,1.801445037E-1,5.720062852E-1,3.012836576E-1
7.671542913E-1,2.706128359E-1,5.337028503E-1,1.849987954E-1
7.870722916E-1,4.497402012E-1,5.403052568E-1,4.297522083E-2
8.069892917E-1,5.746449232E-1,4.193724096E-1,-1.007563174E-1
8.269072915E-1,6.014637947E-1,2.941960692E-1,-2.742377222E-1
8.468252914E-1,5.605531335E-1,1.682190895E-1,-4.404927194E-1
8.667432913E-1,4.399911761E-1,-4.096864164E-2,-5.511267185E-1
8.866602913E-1,2.785761356E-1,-3.634544909E-1,-3.026843965E-1
9.065782917E-1,1.351343840E-1,-6.802220345E-1,-4.928056896E-2
9.264962915E-1,3.093463555E-2,-9.076443911E-1,1.671496034E-1
9.464142914E-1,-1.233840585E-1,-1.121240139E0,3.162670434E-1
9.663312915E-1,-2.899106145E-1,-1.270374894E0,4.273276925E-1
9.862492913E-1,-3.635657132E-1,-1.407883763E0,5.733393431E-1
1.006167292E0,-3.378506899E-1,-1.590427637E0,7.256550789E-1
1.026085292E0,-2.559582293E-1,-1.756016850E0,8.127573133E-1
1.046002292E0,-1.795526147E-1,-1.851902485E0,8.506064415E-1
1.065920291E0,-1.304072291E-1,-1.860013008E0,8.923149109E-1
1.085838291E0,-9.845893830E-2,-1.794660330E0,9.103804827E-1
1.105756292E0,-7.959235460E-2,-1.696392179E0,8.901209235E-1
1.125673291E0,-5.164939910E-2,-1.538104296E0,7.474386096E-1
1.145591292E0,-9.854458272E-2,-1.182114244E0,5.740334988E-1
1.165509291E0,-3.470119238E-1,-5.495309234E-1,4.542676210E-1
1.185427291E0,-5.843325853E-1,9.227509052E-2,2.717468739E-1
1.205344291E0,-5.626857877E-1,4.435400963E-1,1.842291057E-1
1.225262291E0,-3.250477612E-1,5.341184139E-1,1.308562756E-1
1.245180292E0,-1.202620789E-1,4.956166744E-1,1.505216360E-1
1.265098291E0,1.397061627E-2,4.188591242E-1,2.163457274E-1
1.285015292E0,8.353589475E-2,2.635708451E-1,2.270764560E-1
1.304933291E0,1.480659992E-1,1.012573093E-1,2.309988588E-1
1.324851291E0,2.628587484E-1,7.370200753E-2,2.673626244E-1
