"Time (s)","X (hPa)"
-5.365277086E-1,1.034427338E3
4.678362915E-1,1.034428558E3
1.472204291E0,1.034429855E3
2.476515291E0,1.034438782E3
3.480858291E0,1.034442902E3
4.485215291E0,1.034446564E3
4.663293291E0,1.034451294E3
5.593298291E0,1.034452896E3
6.523350291E0,1.034454041E3
7.453250291E0,1.034457932E3
8.383232291E0,1.034461212E3
9.313173291E0,1.034464264E3
1.024322729E1,1.034465408E3
1.117312229E1,1.034469376E3
1.210306529E1,1.034472198E3
1.303316829E1,1.034473419E3
1.396334629E1,1.034475479E3
1.489353829E1,1.034476166E3
1.582361829E1,1.034476166E3
1.675371629E1,1.034468460E3
1.768391429E1,1.034457855E3
1.861400429E1,1.034446259E3
1.954418929E1,1.034435120E3
2.047441229E1,1.034425507E3
2.140463129E1,1.034423370E3
2.233487329E1,1.034423370E3
2.326515129E1,1.034427948E3
2.419552629E1,1.034431152E3
2.512596829E1,1.034435883E3
2.605649129E1,1.034440918E3
2.698707829E1,1.034443436E3
2.791765229E1,1.034444427E3
2.884818329E1,1.034448624E3
2.977868029E1,1.034453125E3
3.070941429E1,1.034457550E3
3.164030429E1,1.034462280E3
3.257112429E1,1.034466019E3
3.350196929E1,1.034466019E3
3.443267129E1,1.034464569E3
3.536329529E1,1.034462891E3
3.629390029E1,1.034462891E3
3.722463029E1,1.034463806E3
3.815526529E1,1.034464035E3
3.908596129E1,1.034465027E3
4.001676229E1,1.034465027E3
4.094742529E1,1.034463196E3
4.187810629E1,1.034461212E3
4.280867029E1,1.034458466E3
4.373918229E1,1.034458466E3
4.466979829E1,1.034459915E3
4.560040729E1,1.034461212E3
4.653107229E1,1.034462051E3
4.746183529E1,1.034465561E3
4.839253429E1,1.034465790E3
4.932313729E1,1.034467087E3
5.025377129E1,1.034467316E3
5.118439029E1,1.034467850E3
5.211517929E1,1.034468536E3
5.304596929E1,1.034467850E3
5.397666529E1,1.034467239E3
5.490743329E1,1.034466934E3
5.583823229E1,1.034462814E3
5.676900129E1,1.034456711E3
5.769975829E1,1.034453735E3
5.863060429E1,1.034453735E3
5.956138929E1,1.034454041E3
6.049213129E1,1.034454803E3
6.142276929E1,1.034457626E3
6.235335529E1,1.034458084E3
6.328402029E1,1.034458084E3
6.421484429E1,1.034455414E3
6.514566629E1,1.034455185E3
6.607637629E1,1.034454803E3
6.700710929E1,1.034451447E3
6.793793929E1,1.034451447E3
6.886857729E1,1.034452133E3
6.979920029E1,1.034453659E3
7.072979029E1,1.034456863E3
7.166039729E1,1.034459839E3
7.259114529E1,1.034459839E3
7.352185529E1,1.034458694E3
7.445222329E1,1.034454346E3
7.538238829E1,1.034449158E3
7.631269229E1,1.034444809E3
7.724304729E1,1.034442215E3
7.817343029E1,1.034442215E3
7.910384129E1,1.034443741E3
8.003428829E1,1.034448166E3
8.096468829E1,1.034452133E3
8.189519229E1,1.034455872E3
8.282553229E1,1.034456711E3
8.375576029E1,1.034456711E3
8.468604129E1,1.034456558E3
8.561625529E1,1.034456558E3
8.654648329E1,1.034457092E3
8.747665929E1,1.034458542E3
8.840687529E1,1.034463196E3
8.933718629E1,1.034471207E3
9.026730129E1,1.034471664E3
9.119743229E1,1.034471970E3
9.212770829E1,1.034471970E3
9.305802229E1,1.034464874E3
9.398832929E1,1.034459457E3
9.491863929E1,1.034456177E3
9.584891629E1,1.034450989E3
9.677908329E1,1.034449921E3
9.770925829E1,1.034449615E3
9.863962829E1,1.034448166E3
9.957014729E1,1.034448013E3
1.005005813E2,1.034448013E3
1.014311713E2,1.034443665E3
1.023617713E2,1.034438858E3
1.032922653E2,1.034433365E3
1.042227583E2,1.034422684E3
1.051532453E2,1.034417267E3
1.060837373E2,1.034414139E3
1.070142273E2,1.034411850E3
1.079446293E2,1.034410172E3
1.088750133E2,1.034410019E3
1.098054243E2,1.034408875E3
1.107357783E2,1.034408035E3
1.116660803E2,1.034407578E3
1.125963673E2,1.034406586E3
1.135266213E2,1.034406586E3
1.144568123E2,1.034407501E3
1.153869713E2,1.034408340E3
1.163173293E2,1.034409637E3
1.172478213E2,1.034411697E3
1.181781183E2,1.034411697E3
1.191084013E2,1.034411469E3
1.200388233E2,1.034410019E3
1.209692953E2,1.034409256E3
1.218997743E2,1.034407730E3
1.228302543E2,1.034406433E3
1.237606523E2,1.034405975E3
1.246910853E2,1.034403915E3
1.256212923E2,1.034403915E3
1.265513613E2,1.034405670E3
