"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.019054141E-2,1.932504639E3,1.957260986E3,1.642504883E3
5.010754149E-2,1.932118164E3,1.957407593E3,1.642650635E3
7.002554135E-2,1.931506836E3,1.958448120E3,1.642156250E3
8.994354168E-2,1.931267090E3,1.958770630E3,1.641587524E3
1.098615415E-1,1.930855347E3,1.959265015E3,1.641756836E3
1.297795414E-1,1.930449951E3,1.959526367E3,1.641929321E3
1.496965415E-1,1.931004395E3,1.959645386E3,1.641002441E3
1.696145413E-1,1.931682495E3,1.959364014E3,1.640390991E3
1.895325417E-1,1.932285645E3,1.959438477E3,1.639707153E3
2.094505415E-1,1.932456665E3,1.958843384E3,1.639384766E3
2.293675416E-1,1.932707275E3,1.958561035E3,1.639231445E3
2.492855415E-1,1.932437622E3,1.958647217E3,1.639877808E3
2.692035413E-1,1.932675049E3,1.958869507E3,1.639457642E3
2.891215417E-1,1.932582397E3,1.958942139E3,1.639714722E3
3.090385413E-1,1.932330933E3,1.959234131E3,1.639415039E3
3.289565416E-1,1.932436279E3,1.959090210E3,1.639471802E3
3.488745415E-1,1.932008545E3,1.959151855E3,1.639350098E3
3.687992916E-1,1.931911987E3,1.959134277E3,1.639313721E3
3.887162916E-1,1.932253174E3,1.959360352E3,1.639320801E3
4.086342915E-1,1.931902710E3,1.959666992E3,1.639958740E3
4.285522914E-1,1.931555542E3,1.959487061E3,1.640050293E3
4.484702917E-1,1.931653320E3,1.959682495E3,1.639824463E3
4.683872913E-1,1.931680664E3,1.959236572E3,1.640060425E3
4.883052916E-1,1.931783447E3,1.958843140E3,1.639851318E3
5.082232915E-1,1.931936646E3,1.959126953E3,1.639990479E3
5.281412913E-1,1.932145630E3,1.958861938E3,1.639712158E3
5.480582914E-1,1.932367676E3,1.959048950E3,1.639381958E3
5.679762913E-1,1.932503418E3,1.959019897E3,1.639047852E3
5.878942916E-1,1.932954590E3,1.958677856E3,1.639039062E3
6.078122915E-1,1.932876465E3,1.958378662E3,1.639273071E3
6.277292916E-1,1.933201660E3,1.957918945E3,1.638989868E3
6.476472914E-1,1.933209717E3,1.958040161E3,1.639278931E3
6.675652913E-1,1.933180664E3,1.958063354E3,1.639071167E3
6.874832916E-1,1.933329956E3,1.958125000E3,1.638773560E3
7.074002917E-1,1.933112183E3,1.958357422E3,1.638440430E3
7.273182916E-1,1.933459106E3,1.958371338E3,1.638016968E3
7.472362914E-1,1.933629028E3,1.958646851E3,1.637776489E3
7.671542913E-1,1.933394287E3,1.958845703E3,1.637567871E3
7.870722916E-1,1.933841675E3,1.958639038E3,1.637305664E3
8.069892917E-1,1.933936768E3,1.958247559E3,1.637522583E3
8.269072915E-1,1.933768677E3,1.958001343E3,1.637361938E3
8.468252914E-1,1.933887451E3,1.957732788E3,1.637572510E3
8.667432913E-1,1.934555176E3,1.957153931E3,1.638024048E3
8.866602913E-1,1.935150024E3,1.956869629E3,1.638289795E3
9.065782917E-1,1.935011719E3,1.956983643E3,1.638715210E3
9.264962915E-1,1.934539185E3,1.956697998E3,1.639183228E3
9.464142914E-1,1.934389038E3,1.956915161E3,1.639703857E3
9.663312915E-1,1.933517212E3,1.957185059E3,1.640094604E3
9.862492913E-1,1.932800781E3,1.957580444E3,1.640603027E3
1.006167292E0,1.931863647E3,1.958453491E3,1.641626709E3
1.026085292E0,1.930871460E3,1.958998291E3,1.642512207E3
1.046002292E0,1.929680298E3,1.959908203E3,1.643224854E3
1.065920291E0,1.928675659E3,1.960406860E3,1.644555176E3
1.085838291E0,1.927495728E3,1.961261719E3,1.645394775E3
1.105756292E0,1.926624146E3,1.961671753E3,1.646842041E3
1.125673291E0,1.925568115E3,1.962433472E3,1.647585571E3
1.145591292E0,1.924875977E3,1.962966553E3,1.648837158E3
1.165509291E0,1.924408691E3,1.963158325E3,1.649434448E3
1.185427291E0,1.924365845E3,1.963503662E3,1.649336670E3
1.205344291E0,1.924161499E3,1.963915039E3,1.649120239E3
1.225262291E0,1.923951416E3,1.963943359E3,1.648675781E3
1.245180292E0,1.923928955E3,1.964388428E3,1.647859131E3
1.265098291E0,1.923963379E3,1.964425415E3,1.647596802E3
1.285015292E0,1.924293701E3,1.964542236E3,1.647255249E3
1.304933291E0,1.924307495E3,1.964548462E3,1.647308350E3
1.324851291E0,1.924251465E3,1.965122559E3,1.647414307E3
1.344769292E0,1.923749146E3,1.964898071E3,1.647202026E3
1.364679167E0,1.923539917E3,1.964884521E3,1.647505249E3
1.384597166E0,1.923533813E3,1.965403809E3,1.647462158E3
1.404515166E0,1.923623901E3,1.965661987E3,1.647659912E3
1.424433167E0,1.923256592E3,1.966175537E3,1.648172241E3
1.444351166E0,1.922652588E3,1.966179077E3,1.648636719E3
1.464268167E0,1.922376953E3,1.966702393E3,1.649175537E3
1.484186166E0,1.921953491E3,1.967237793E3,1.649119507E3
1.504104166E0,1.922240112E3,1.967433228E3,1.649442139E3
1.524021166E0,1.922095825E3,1.967766113E3,1.649527954E3
1.543939166E0,1.922191040E3,1.967817017E3,1.649772949E3
1.563857167E0,1.921575806E3,1.967823486E3,1.649829590E3
1.583775166E0,1.921645508E3,1.968050781E3,1.649996460E3
1.603693166E0,1.921389038E3,1.967711914E3,1.649764404E3
1.623610166E0,1.921245239E3,1.967743896E3,1.650376099E3
1.643528167E0,1.921124634E3,1.968009277E3,1.650345703E3
1.663446167E0,1.921029419E3,1.967778076E3,1.650580933E3
1.683364166E0,1.920950928E3,1.968195068E3,1.650845581E3
1.703281166E0,1.920770386E3,1.968016235E3,1.651475708E3
1.723199166E0,1.920851074E3,1.967946289E3,1.652090088E3
1.743117167E0,1.921149536E3,1.968438232E3,1.652569946E3
1.763035167E0,1.920813232E3,1.968198364E3,1.652664062E3
1.782952167E0,1.920781372E3,1.967972900E3,1.652380249E3
1.802870166E0,1.920783936E3,1.967612793E3,1.652505249E3
1.822788166E0,1.921127075E3,1.967753540E3,1.652319214E3
1.842706167E0,1.920769531E3,1.967430054E3,1.652364990E3
1.862623166E0,1.920874878E3,1.967466553E3,1.652551758E3
1.882541167E0,1.921022095E3,1.967683594E3,1.652631226E3
1.902459166E0,1.921275757E3,1.967495483E3,1.652420776E3
1.922377166E0,1.921588501E3,1.967275146E3,1.652733887E3
1.942294166E0,1.921567017E3,1.967307983E3,1.652038208E3
1.962212166E0,1.921751587E3,1.967298096E3,1.651922363E3
1.982130167E0,1.921755127E3,1.967190063E3,1.651407593E3
2.002048166E0,1.921999756E3,1.966825806E3,1.651208252E3
2.021965167E0,1.921808228E3,1.966919556E3,1.650748291E3
2.041883166E0,1.922013306E3,1.966527710E3,1.650425659E3
2.061801166E0,1.922067017E3,1.966405762E3,1.649640381E3
2.081719167E0,1.922672974E3,1.966215454E3,1.648715820E3
2.101636167E0,1.922602661E3,1.966129028E3,1.648141113E3
2.121554167E0,1.922908936E3,1.966306763E3,1.647796753E3
2.141472166E0,1.923325806E3,1.965927734E3,1.646694458E3
2.161390166E0,1.923584717E3,1.965927734E3,1.645679932E3
2.181307166E0,1.924005005E3,1.965470459E3,1.645096680E3
2.201225167E0,1.924404663E3,1.965673950E3,1.644365601E3
2.221143167E0,1.924394043E3,1.965409424E3,1.644024902E3
2.241061166E0,1.924804810E3,1.965384399E3,1.643684692E3
2.260978166E0,1.924327637E3,1.965732544E3,1.643398926E3
2.280896166E0,1.924552979E3,1.965612793E3,1.643261230E3
2.300814167E0,1.924287964E3,1.965853149E3,1.642983643E3
2.320732167E0,1.924378784E3,1.966049561E3,1.642375610E3
2.340649167E0,1.924476074E3,1.966415039E3,1.641472778E3
2.360567166E0,1.924504761E3,1.966768677E3,1.640773560E3
2.380485292E0,1.924625488E3,1.967087280E3,1.640099243E3
2.400403291E0,1.924494141E3,1.968078735E3,1.639551270E3
2.420320292E0,1.924345093E3,1.968758057E3,1.638246582E3
2.440238291E0,1.925074585E3,1.969412354E3,1.637293457E3
2.460156291E0,1.925272339E3,1.970050171E3,1.636693604E3
2.480074292E0,1.924713623E3,1.970618042E3,1.636056030E3
2.499991292E0,1.924435425E3,1.971311523E3,1.635563721E3
2.519909292E0,1.924296875E3,1.971633789E3,1.635708984E3
2.539827291E0,1.924403076E3,1.972348511E3,1.635713867E3
2.559745291E0,1.924196533E3,1.972507812E3,1.635210449E3
2.579662291E0,1.924203857E3,1.972958618E3,1.635591553E3
2.599580292E0,1.923844604E3,1.973083374E3,1.634930176E3
2.619498292E0,1.923596558E3,1.973533813E3,1.634963623E3
2.639416291E0,1.923714844E3,1.973918213E3,1.634855957E3
2.659333291E0,1.923528198E3,1.974335693E3,1.634705200E3
2.679251291E0,1.923549561E3,1.974416748E3,1.634439209E3
2.699169292E0,1.923268188E3,1.974360596E3,1.634672974E3
2.719087292E0,1.923077026E3,1.974850098E3,1.635200073E3
2.739005291E0,1.923151001E3,1.974971802E3,1.635380981E3
2.758922291E0,1.922956909E3,1.975255005E3,1.635364990E3
