"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.019054141E-2,-1.318438956E-1,-7.572044867E-1,-1.538263859E0
5.010754149E-2,5.174674755E-1,-6.912100334E-1,2.041110957E-1
7.002554135E-2,1.018965620E0,-2.416107515E-1,1.616380906E0
8.994354168E-2,1.457835408E0,3.794278702E-1,2.563149785E0
1.098615415E-1,2.760314389E0,1.345321530E0,3.104955711E0
1.297795414E-1,4.397340059E0,1.859205540E0,4.568810243E0
1.496965415E-1,3.273577424E0,1.478096595E0,5.753861931E0
1.696145413E-1,1.179111209E0,1.554779320E0,4.774904130E0
1.895325417E-1,6.286894110E-1,1.416337718E0,4.311119941E0
2.094505415E-1,1.152459893E0,1.210584432E0,4.148736330E0
2.293675416E-1,1.816086709E0,1.336621896E0,2.561502625E0
2.492855415E-1,1.978135275E0,8.616094458E-1,5.917721379E-1
2.692035413E-1,2.207016053E0,3.464171950E-1,-5.751900190E-1
2.891215417E-1,2.597606258E0,3.079616656E-1,-1.045560511E0
3.090385413E-1,2.791223940E0,6.192360713E-1,-1.318229041E0
3.289565416E-1,1.243792816E0,6.620148857E-1,-1.537251706E0
3.488745415E-1,4.955892411E-1,4.902730988E-1,-1.907971026E0
3.687992916E-1,3.854107413E-1,3.991117177E-1,-2.379822618E0
3.887162916E-1,3.181645453E-1,3.359048514E-1,-2.713181738E0
4.086342915E-1,-1.096382463E0,-4.568814044E-1,-2.401925678E0
4.285522914E-1,-1.205574538E0,-7.209823014E-1,-2.852336115E0
4.484702917E-1,-8.732828271E-1,-6.446862236E-1,-3.268212311E0
4.683872913E-1,-4.664461336E-1,-9.113249584E-1,-3.125258998E0
4.883052916E-1,-3.597291854E-1,-5.939190893E-1,-2.617269275E0
5.082232915E-1,-1.307589447E-1,-1.750331846E-1,-2.610309334E0
5.281412913E-1,3.656667405E-1,2.587618044E-1,-2.594120148E0
5.480582914E-1,7.753823107E-1,4.977180661E-1,-1.720557824E0
5.679762913E-1,9.131807184E-1,5.685258012E-1,-4.140220445E-1
5.878942916E-1,1.055493761E0,5.848930348E-1,3.808081055E-1
6.078122915E-1,7.783863178E-1,7.083808208E-1,1.589474359E0
6.277292916E-1,-6.725829971E-1,4.523305164E-1,3.133870193E0
6.476472914E-1,-2.177067199E0,3.197504564E-1,3.905928361E0
6.675652913E-1,-3.701368784E0,-1.228668116E-1,4.702292821E0
6.874832916E-1,-4.367814544E0,-7.351604837E-1,5.682914155E0
7.074002917E-1,-8.955648118E-1,-1.751812799E0,4.737523465E0
7.273182916E-1,1.192176813E0,-2.060011204E0,3.371736095E0
7.472362914E-1,2.698832670E0,-1.607413178E0,3.204489355E0
7.671542913E-1,3.410411333E0,-9.172698225E-1,3.073468455E0
7.870722916E-1,2.615847232E0,-1.151161372E0,2.289170895E0
8.069892917E-1,1.582738366E0,-2.068142781E0,1.490254710E0
8.269072915E-1,7.495686078E-1,-2.432090001E0,6.787699360E-1
8.468252914E-1,-2.043531704E-1,-2.571896928E0,2.991616791E-1
8.667432913E-1,-7.229468197E-1,-2.813885994E0,-6.104083836E-2
8.866602913E-1,-1.239463538E-2,-2.694423870E0,-4.414946026E-1
9.065782917E-1,5.562374389E-1,-2.450250868E0,-4.523546362E-1
9.264962915E-1,1.222325349E-1,-2.437516218E0,5.860956609E-2
9.464142914E-1,5.756259289E-1,-2.142531789E0,2.458777571E-1
9.663312915E-1,8.076191801E-1,-2.105290873E0,2.746519053E-1
9.862492913E-1,1.787914824E-1,-2.223613667E0,2.193197036E-1
1.006167292E0,-2.617769212E-1,-2.138704787E0,4.069779038E-2
1.026085292E0,-3.615076160E-1,-1.674048924E0,-4.351053500E-1
1.046002292E0,-2.303349808E-1,-1.106263527E0,-7.106624043E-1
1.065920291E0,-4.397913086E-1,-8.003203931E-1,-7.358229733E-1
1.085838291E0,-6.850644636E-1,-7.490368035E-1,-8.602160543E-1
1.105756292E0,-7.507450676E-1,-5.546200991E-1,-1.114186943E0
1.125673291E0,-1.853035265E-1,-4.546882600E-2,-1.355173504E0
1.145591292E0,7.156927639E-1,6.293324585E-1,-8.794516397E-1
