"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.523217082E0,3.211552252E1,1.189502086E2,1.640302563E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.260851109E1,3.211509600E1,1.189500962E2,1.655290604E1,-1.000000000E0,-1.000000000E0,5.100000000E1,5.100000000E1
1.526087105E1,3.211545627E1,1.189501300E2,1.679913616E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.769030702E1,3.211552442E1,1.189501375E2,1.692609406E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.051027906E1,3.211547896E1,1.189501203E2,1.678919744E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.653604007E1,3.211546537E1,1.189500886E2,1.678687739E1,-1.000000000E0,-1.000000000E0,4.866666667E1,4.866666667E1
3.692257810E1,3.211541540E1,1.189497867E2,1.680618978E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.819649410E1,3.211541848E1,1.189497905E2,1.681220698E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.425912607E1,3.211552791E1,1.189499016E2,1.682910204E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.463237000E1,3.211557947E1,1.189497507E2,1.696098137E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.100337100E1,3.211558508E1,1.189496566E2,1.724894309E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.241659510E1,3.211557387E1,1.189496233E2,1.738030791E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.843593800E1,3.211566504E1,1.189496752E2,1.738070774E1,-1.000000000E0,-1.000000000E0,4.400000000E1,4.400000000E1
6.746615207E1,3.211567228E1,1.189497310E2,1.754763651E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.352991199E1,3.211570827E1,1.189497498E2,1.767078304E1,-1.000000000E0,-1.000000000E0,4.400000000E1,4.400000000E1
7.958176005E1,3.211572686E1,1.189497547E2,1.773404026E1,-1.000000000E0,-1.000000000E0,4.400000000E1,4.400000000E1
9.867846501E1,3.211582957E1,1.189496596E2,1.802993464E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.927728903E1,3.211583500E1,1.189496518E2,1.809576297E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.046923331E2,3.211579235E1,1.189496855E2,1.796663952E1,-1.000000000E0,-1.000000000E0,4.314946904E1,4.314946904E1
1.078935400E2,3.211585190E1,1.189496386E2,1.818540740E1,-1.000000000E0,-1.000000000E0,4.600203942E1,4.600203942E1
1.129118171E2,3.211603249E1,1.189495308E2,1.821890879E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.134248991E2,3.211602177E1,1.189495454E2,1.822466516E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.251485790E2,3.211624132E1,1.189494007E2,1.814886951E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.315639961E2,3.211630213E1,1.189493732E2,1.814943314E1,-1.000000000E0,-1.000000000E0,4.565991759E1,4.565991759E1
1.376187351E2,3.211631207E1,1.189493843E2,1.814943314E1,-1.000000000E0,-1.000000000E0,5.579184069E1,5.579184069E1
1.380081511E2,3.211614555E1,1.189495015E2,1.820463705E1,-1.000000000E0,-1.000000000E0,3.733333333E1,3.733333333E1
1.444058460E2,3.211610922E1,1.189495305E2,1.824864721E1,-1.000000000E0,-1.000000000E0,3.733333333E1,3.733333333E1
1.449464470E2,3.211632651E1,1.189495636E2,1.814863610E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.509766860E2,3.211617129E1,1.189495608E2,1.821497488E1,-1.000000000E0,-1.000000000E0,3.733333333E1,3.733333333E1
1.513554821E2,3.211638481E1,1.189495554E2,1.806968665E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.548235141E2,3.211650352E1,1.189495526E2,1.793413162E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.549238590E2,3.211655000E1,1.189495514E2,1.786930275E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.586534121E2,3.211677578E1,1.189493127E2,1.762847304E1,-1.000000000E0,-1.000000000E0,4.031045485E1,4.031045485E1
1.668379891E2,3.211680141E1,1.189492940E2,1.767814589E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.752339131E2,3.211683130E1,1.189492123E2,1.767210484E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
