"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.064429199E-2,-8.313315362E-2,1.366335750E-1,4.456023574E-1
3.056129161E-2,-3.202120960E-2,1.499589235E-1,3.554303348E-1
5.047729192E-2,-3.038905188E-2,1.924361736E-1,2.769921720E-1
7.039429201E-2,-5.135821551E-2,2.202182412E-1,2.240881324E-1
9.031129163E-2,-8.381011337E-2,2.395618111E-1,1.949748695E-1
1.102282917E-1,-9.633725882E-2,2.489272207E-1,1.714320630E-1
1.301452918E-1,-8.845007420E-2,2.048015893E-1,1.395743489E-1
1.500622919E-1,-6.899962574E-2,1.263869107E-1,9.375029057E-2
1.699792920E-1,-5.666527152E-2,2.754776925E-2,5.196864158E-2
1.898962921E-1,-6.399008632E-2,-5.986429751E-2,1.595509797E-2
2.098132917E-1,-1.077827364E-1,-1.526566893E-1,-2.403432690E-2
2.297302918E-1,-2.071536630E-1,-1.944594085E-1,-8.277807385E-2
2.496472918E-1,-3.306465149E-1,-1.895301938E-1,-1.372020096E-1
2.695642919E-1,-4.396251440E-1,-1.986233741E-1,-1.816971451E-1
2.894812920E-1,-4.409577250E-1,-2.923799753E-1,-2.512883246E-1
3.093982916E-1,-4.343935251E-1,-4.241012931E-1,-3.247589171E-1
3.293152917E-1,-4.097728133E-1,-4.579722285E-1,-3.700476289E-1
3.492322918E-1,-4.030534923E-1,-4.316034019E-1,-4.125823975E-1
3.691492919E-1,-3.881677985E-1,-2.475224435E-1,-4.503313005E-1
3.890662920E-1,-2.995581031E-1,-4.510936886E-2,-4.637137949E-1
4.089832921E-1,-2.104923427E-1,5.084237829E-2,-4.563884139E-1
4.289002917E-1,-1.916318685E-1,-2.475059032E-2,-4.217962623E-1
4.488172918E-1,-1.805851012E-1,-9.888814390E-2,-3.750921190E-1
4.687350835E-1,-1.138430983E-1,-6.485058367E-2,-3.517691493E-1
4.886520836E-1,-1.586919092E-2,2.982782573E-2,-3.556437194E-1
5.085690836E-1,5.571909249E-2,1.581677794E-1,-3.804219663E-1
5.284860837E-1,1.212730557E-1,2.632276416E-1,-4.281324744E-1
5.484030833E-1,1.672704518E-1,2.718141079E-1,-4.821156859E-1
5.683200834E-1,1.777707934E-1,2.084739953E-1,-5.001261830E-1
5.882370835E-1,2.071623951E-1,1.611113846E-1,-4.471940398E-1
6.081540836E-1,2.756631076E-1,1.790433079E-1,-3.479437828E-1
6.280710837E-1,3.700444698E-1,2.587714195E-1,-2.321865857E-1
6.479880833E-1,4.603473842E-1,3.096954226E-1,-1.418876797E-1
6.679050834E-1,5.128861070E-1,3.515643775E-1,-9.502461553E-2
6.878220835E-1,5.388482809E-1,3.618958294E-1,-9.329206496E-2
7.077390836E-1,5.843533278E-1,3.487393856E-1,-1.237455457E-1
7.276560836E-1,6.534844637E-1,2.571375966E-1,-1.726076305E-1
7.475730837E-1,6.860272884E-1,1.300783604E-1,-2.653515637E-1
7.674900834E-1,6.470080018E-1,4.774963856E-2,-3.547915220E-1
7.874070834E-1,5.708760023E-1,-5.565831065E-2,-3.846707046E-1
8.073240835E-1,5.885356665E-1,-1.299644709E-1,-3.671359122E-1
8.272410836E-1,7.040162086E-1,-1.880323589E-1,-3.165755272E-1
8.471580837E-1,6.867269874E-1,-1.533262581E-1,-2.084559053E-1
8.670750833E-1,6.355299950E-1,-7.337062806E-2,-2.049783990E-2
8.869920834E-1,5.472988486E-1,-3.235942498E-2,2.260481715E-1
