"Time (s)","X (hPa)"
-5.804114584E-1,1.033316574E3
4.221195416E-1,1.033315506E3
1.424605542E0,1.033316574E3
2.427020542E0,1.033317032E3
3.429638542E0,1.033318558E3
4.432274542E0,1.033319168E3
4.612887542E0,1.033321075E3
5.541025542E0,1.033324661E3
6.469323542E0,1.033329391E3
7.397849542E0,1.033333588E3
8.326617542E0,1.033339233E3
9.255500542E0,1.033344574E3
1.018438754E1,1.033347321E3
1.111322954E1,1.033347931E3
1.204209854E1,1.033351288E3
1.297103954E1,1.033353119E3
1.390005454E1,1.033353119E3
1.482899154E1,1.033352585E3
1.575793154E1,1.033350906E3
1.668689154E1,1.033346024E3
1.761581254E1,1.033339767E3
1.854472454E1,1.033334579E3
1.947378354E1,1.033330307E3
2.040282354E1,1.033325806E3
2.133190554E1,1.033324356E3
2.226099754E1,1.033323288E3
2.319017354E1,1.033321991E3
2.411943054E1,1.033320923E3
2.504843154E1,1.033319702E3
2.597738154E1,1.033316422E3
2.690627754E1,1.033314743E3
2.783541154E1,1.033313828E3
2.876449054E1,1.033311157E3
2.969353054E1,1.033310242E3
3.062262654E1,1.033310089E3
3.155180354E1,1.033308258E3
3.248091654E1,1.033308258E3
3.341009254E1,1.033308563E3
3.433928854E1,1.033310471E3
3.526853954E1,1.033312225E3
3.619775954E1,1.033314896E3
3.712701654E1,1.033319397E3
3.805618554E1,1.033324127E3
3.898542054E1,1.033330994E3
3.991455654E1,1.033338089E3
4.084361654E1,1.033348846E3
4.177261554E1,1.033358917E3
4.270166154E1,1.033367081E3
4.363078454E1,1.033372574E3
4.455990354E1,1.033376846E3
4.548909354E1,1.033378983E3
4.641814554E1,1.033380051E3
4.734717654E1,1.033380737E3
4.827646454E1,1.033380814E3
4.920593654E1,1.033380814E3
5.013531454E1,1.033381577E3
5.106461754E1,1.033381577E3
5.199379654E1,1.033381577E3
5.292309254E1,1.033381119E3
5.385252354E1,1.033381119E3
5.478193054E1,1.033381577E3
5.571129254E1,1.033382416E3
5.664044354E1,1.033385849E3
5.756979154E1,1.033391037E3
5.849921454E1,1.033393784E3
5.942846754E1,1.033399811E3
6.035762554E1,1.033404999E3
6.128685754E1,1.033406219E3
6.221620354E1,1.033409195E3
6.314550454E1,1.033410492E3
6.407482354E1,1.033410492E3
6.500429154E1,1.033409653E3
6.593388454E1,1.033409119E3
6.686348154E1,1.033407288E3
6.779297854E1,1.033404999E3
6.872257754E1,1.033404846E3
6.965221154E1,1.033402481E3
7.058184254E1,1.033401260E3
7.151154554E1,1.033400269E3
7.244111954E1,1.033400269E3
7.337073754E1,1.033402634E3
7.430034754E1,1.033404312E3
7.523008854E1,1.033407593E3
7.615959354E1,1.033411179E3
7.708912954E1,1.033411179E3
7.801877154E1,1.033411484E3
7.894854754E1,1.033411179E3
7.987839454E1,1.033411179E3
8.080827154E1,1.033411179E3
8.173815454E1,1.033412399E3
8.266795354E1,1.033415146E3
8.359780154E1,1.033416290E3
8.452760254E1,1.033417435E3
8.545747954E1,1.033417969E3
8.638734254E1,1.033417969E3
8.731717054E1,1.033417282E3
8.824698854E1,1.033415222E3
8.917688054E1,1.033414688E3
9.010675854E1,1.033411102E3
9.103655354E1,1.033408813E3
9.196648754E1,1.033402939E3
9.289649654E1,1.033395386E3
9.382653554E1,1.033386536E3
9.475653454E1,1.033380661E3
9.568647454E1,1.033374176E3
9.661619754E1,1.033370972E3
9.754591154E1,1.033370209E3
9.847565754E1,1.033368988E3
9.940539554E1,1.033368301E3
1.003352595E2,1.033366241E3
1.012652665E2,1.033365402E3
1.021952705E2,1.033364868E3
1.031252965E2,1.033364868E3
1.040553645E2,1.033365631E3
1.049854395E2,1.033366089E3
1.059153905E2,1.033366776E3
1.068452925E2,1.033367233E3
1.077752065E2,1.033368607E3
1.087050465E2,1.033371582E3
1.096349375E2,1.033376160E3
1.105648715E2,1.033379517E3
1.114948645E2,1.033381882E3
1.124247915E2,1.033385620E3
1.133549615E2,1.033385849E3
1.142852205E2,1.033386230E3
1.152155125E2,1.033386536E3
1.161456695E2,1.033388138E3
1.170758265E2,1.033388596E3
1.180059295E2,1.033389053E3
1.189360685E2,1.033389587E3
1.198661495E2,1.033389053E3
1.207961815E2,1.033386993E3
1.217260965E2,1.033386612E3
1.226560205E2,1.033385086E3
1.235859425E2,1.033384705E3
1.245158085E2,1.033383255E3
1.254454855E2,1.033382645E3
1.263751005E2,1.033380585E3
1.273048335E2,1.033380585E3
1.282345085E2,1.033381195E3
1.291641315E2,1.033382645E3
1.300937875E2,1.033384171E3
1.310234745E2,1.033384552E3
1.319531975E2,1.033385468E3
1.328828365E2,1.033385620E3
1.338123965E2,1.033385696E3
1.347421345E2,1.033385925E3
1.356718645E2,1.033385925E3
1.366017205E2,1.033384628E3
1.375315735E2,1.033384628E3
1.384613345E2,1.033384399E3
1.393911035E2,1.033385544E3
1.403209725E2,1.033385849E3
1.412507195E2,1.033389282E3
1.421805365E2,1.033391571E3
1.431102965E2,1.033391571E3
1.440400485E2,1.033395767E3
1.449700275E2,1.033396530E3
1.459000105E2,1.033396530E3
1.468300135E2,1.033397598E3
1.477600905E2,1.033397980E3
1.486899695E2,1.033399200E3
1.496198545E2,1.033403015E3
1.505497575E2,1.033407440E3
1.514794005E2,1.033415298E3
1.524087995E2,1.033421249E3
1.533383245E2,1.033424759E3
1.542679695E2,1.033427277E3
1.551977335E2,1.033428192E3
1.561272775E2,1.033428650E3
1.570567895E2,1.033429108E3
1.579863145E2,1.033429184E3
1.589161905E2,1.033430176E3
1.598459845E2,1.033432083E3
1.607757205E2,1.033436050E3
1.617052495E2,1.033436661E3
1.626347445E2,1.033436661E3
1.635642885E2,1.033436737E3
1.644940495E2,1.033436813E3
1.654238465E2,1.033437805E3
1.663534795E2,1.033439026E3
1.672829725E2,1.033440094E3
1.682124295E2,1.033442154E3
1.691418645E2,1.033444672E3
1.700713435E2,1.033446960E3
1.710007805E2,1.033449020E3
1.719301905E2,1.033451004E3
1.728595755E2,1.033453445E3
1.737889835E2,1.033456650E3
1.747185355E2,1.033458710E3
1.756481895E2,1.033458786E3
1.765778805E2,1.033460464E3
1.775076555E2,1.033461990E3
1.784374645E2,1.033463058E3
1.793673625E2,1.033465500E3
1.802972275E2,1.033469849E3
1.812270655E2,1.033472214E3
1.821568945E2,1.033472900E3
1.830866885E2,1.033472214E3
1.840165045E2,1.033471222E3
