"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.064429199E-2,7.068430030E-1,-9.271307132E-1,-1.567864804E0
3.056129161E-2,7.227366123E-1,-8.897741680E-1,-1.316981830E0
5.047729192E-2,5.861266512E-1,-6.169761224E-1,-1.279586547E0
7.039429201E-2,3.920239422E-1,-2.703897236E-1,-1.200659076E0
9.031129163E-2,3.327790761E-1,-7.771505088E-2,-1.107727523E0
1.102282917E-1,5.068350448E-1,-5.461869523E-2,-9.442072141E-1
1.301452918E-1,7.302217792E-1,-1.738437147E-1,-8.730968857E-1
1.500622919E-1,9.788934821E-1,-2.280954972E-1,-8.840270859E-1
1.699792920E-1,1.153305546E0,-2.510392405E-1,-7.515946680E-1
1.898962921E-1,1.141007828E0,-2.980743163E-1,-5.920276612E-1
2.098132917E-1,1.281823692E-1,-2.492709694E-1,-1.422949165E-1
2.297302918E-1,5.108507663E-2,-2.430883428E-1,-4.371963143E-3
2.496472918E-1,4.156782684E-1,-3.449678164E-1,4.379289705E-1
2.695642919E-1,6.942586255E-1,-4.468205389E-1,1.066240944E0
2.894812920E-1,1.054355016E0,-5.211366034E-1,1.674946618E0
3.093982916E-1,1.181041375E0,-5.685453893E-1,1.915479435E0
3.293152917E-1,1.191060871E0,-6.801872279E-1,2.157844770E0
3.492322918E-1,5.474601835E-1,-5.985620709E-1,2.135211368E0
3.691492919E-1,3.016870916E-2,-8.944990106E-1,1.772921394E0
3.890662920E-1,-1.083296687E0,-9.662203731E-1,2.335382609E0
4.089832921E-1,-2.472638980E0,-8.305491824E-1,2.298066264E0
4.289002917E-1,-3.203303540E0,-8.371176521E-1,1.585166715E0
4.488172918E-1,-2.989070621E0,-1.124736489E0,9.441200906E-1
4.687350835E-1,-2.382315286E0,-1.447966477E0,5.742269826E-1
4.886520836E-1,-1.974458253E0,-1.440478825E0,1.920547217E-1
5.085690836E-1,-1.698104516E0,-1.323203852E0,-2.555958295E-1
5.284860837E-1,-1.618520987E0,-9.371665817E-1,-4.514705372E-1
5.484030833E-1,-1.586060754E0,-5.788782965E-1,-7.884607780E-1
5.683200834E-1,-1.323033113E0,-4.785592255E-1,-1.153394862E0
5.882370835E-1,-8.764695597E-1,-7.144319580E-1,-1.349836165E0
6.081540836E-1,-5.344787800E-1,-9.084853312E-1,-1.288257383E0
6.280710837E-1,-4.942414579E-1,-1.030880053E0,-1.148449872E0
6.479880833E-1,-7.196919671E-1,-1.105270304E0,-1.064069288E0
6.679050834E-1,-8.467046008E-1,-1.171358751E0,-1.039499288E0
6.878220835E-1,-8.819171181E-1,-1.242995256E0,-8.223149872E-1
7.077390836E-1,-7.628710234E-1,-1.391556926E0,-4.970817429E-1
7.276560836E-1,-4.577896231E-1,-1.654093693E0,-3.859402066E-1
7.475730837E-1,3.529057771E-2,-1.677945801E0,-1.954922998E-1
7.674900834E-1,5.622647488E-1,-1.580289406E0,6.559172630E-2
7.874070834E-1,7.958797252E-1,-1.658535092E0,2.844611943E-1
8.073240835E-1,7.403323460E-1,-1.330117015E0,5.641054523E-1
8.272410836E-1,7.308265275E-1,-9.065675175E-1,1.114586307E0
8.471580837E-1,4.066832042E-1,-2.858259344E-1,1.400867740E0
8.670750833E-1,1.250079158E-1,2.581142253E-1,1.566435744E0
8.869920834E-1,-5.062139243E-2,3.865895399E-1,1.588370989E0
9.069090835E-1,-7.789192915E-2,6.725145847E-2,1.833327225E0
9.268260836E-1,3.047077632E-1,-5.531524479E-2,2.128205234E0
9.467430837E-1,3.846418324E-1,-2.848661140E-1,2.522375396E0
9.666600833E-1,-4.215959430E-1,-4.414039707E-1,2.405201873E0
9.865770834E-1,-1.486598446E0,-5.308108217E-1,1.938916245E0
1.006494083E0,-1.902962008E0,-3.981436381E-1,1.994523266E0
1.026411084E0,-2.394067605E0,-2.234300038E-1,2.070739383E0
1.046328084E0,-2.296429628E0,-6.669509590E-2,1.800171173E0
1.066245084E0,-2.184940767E0,-3.745170861E-2,1.249759900E0
1.086162083E0,-2.067768998E0,-9.395452291E-2,5.941075158E-1
1.106079083E0,-1.986070823E0,-1.620006180E-1,8.027934730E-2
1.125996083E0,-1.850150249E0,-5.033588751E-1,-5.292578012E-1
1.145913084E0,-1.469611700E0,-9.968849261E-1,-1.080280108E0
1.165830084E0,-8.670853633E-1,-1.404404428E0,-1.610527259E0
1.185747083E0,-3.515670571E-1,-1.633208754E0,-1.984737951E0
1.205664083E0,2.259364128E-2,-1.610170871E0,-2.060262342E0
1.225581083E0,2.900423616E-1,-1.361264256E0,-1.795172389E0
1.245498084E0,4.619133720E-1,-8.895559207E-1,-1.658158092E0
1.265415084E0,4.647232515E-1,-4.485239790E-1,-1.559561757E0
1.285332084E0,2.558434591E-1,-1.898359957E-1,-1.337454101E0
1.305249083E0,3.247952878E-2,-6.468774676E-2,-9.103097355E-1
1.325166083E0,-1.374920136E-1,-5.138386935E-2,-5.096672899E-1
1.345083083E0,-2.405515283E-1,1.669073090E-2,-4.878466505E-1
1.364999083E0,-2.774956986E-1,9.282294050E-2,-5.921504527E-1
1.384916083E0,-1.972575742E-1,2.320990857E-1,-5.686078084E-1
1.404833084E0,-1.033302408E-1,5.118109522E-1,-7.704993010E-2
1.424750084E0,-2.976875961E-2,8.692967071E-1,7.731369799E-1
1.444667084E0,-1.748639077E-2,9.974108101E-1,1.231299071E0
1.464584083E0,-4.354538441E-2,8.652166662E-1,1.137091071E0
1.484500084E0,-6.844165921E-4,5.398812418E-1,1.065014198E0
1.504417084E0,4.537547520E-1,2.474168904E-2,1.130845660E0
1.524334083E0,1.469500018E0,-5.739289208E-1,1.327534885E0
1.544251083E0,2.465980171E0,-1.173588295E0,1.794142109E0
1.564168083E0,2.435819356E0,-1.392333290E0,1.985796297E0
1.584085084E0,8.956814638E-1,-1.036595999E0,1.707526134E0
1.604002084E0,-8.063617364E-1,-6.900776470E-1,1.632226861E0
