"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.047079615E-4,3.174598389E0,3.805087280E-1,7.747139740E0
1.971229166E-2,3.217109985E0,3.381468201E-1,8.050858154E0
3.962929174E-2,3.091072083E0,5.361849976E-1,8.132887573E0
5.954629183E-2,2.850821686E0,8.720864868E-1,8.197852478E0
7.946329191E-2,2.727777557E0,1.083446960E0,8.305927734E0
9.938029200E-2,2.791395264E0,1.137334900E0,8.466394043E0
1.192972916E-1,2.992127838E0,9.985734558E-1,8.584797821E0
1.392142917E-1,3.184627533E0,8.996292114E-1,8.572972412E0
1.591312918E-1,3.381318512E0,8.631051636E-1,8.702303467E0
1.790482919E-1,3.430865479E0,8.162525940E-1,8.839268646E0
1.989652920E-1,3.225342865E0,7.723937988E-1,9.100325775E0
2.188822920E-1,3.216211853E0,7.680528259E-1,9.163943481E0
2.387992917E-1,3.720513153E0,5.965095520E-1,9.455088043E0
2.587162917E-1,4.111350403E0,4.279600525E-1,1.004980133E1
2.786332918E-1,4.466711426E0,2.740800476E-1,1.063508423E1
2.985502919E-1,4.707859955E0,1.374142456E-1,1.098655334E1
3.184672920E-1,4.863386536E0,-8.981323242E-4,1.119462067E1
3.383842916E-1,4.444108429E0,-2.409988403E-2,1.126452530E1
3.583012917E-1,3.917952576E0,-2.100132751E-1,1.082848206E1
3.782182918E-1,3.073259125E0,-4.716691589E-1,1.120929016E1
3.981352919E-1,1.630708923E0,-3.480262756E-1,1.143621826E1
4.180522920E-1,6.740483093E-1,-2.909948730E-1,1.082848206E1
4.379692920E-1,6.659651184E-1,-5.297483826E-1,1.011746063E1
4.578862917E-1,1.290466461E0,-8.878038025E-1,9.701026611E0
4.778040834E-1,1.754501495E0,-9.460327148E-1,9.331295471E0
4.977210835E-1,2.020498352E0,-8.372090149E-1,8.868158569E0
5.176380835E-1,2.140249329E0,-4.592449951E-1,8.640482025E0
5.375550836E-1,2.086511078E0,-2.170486450E-2,8.357420654E0
5.574710835E-1,2.227368164E0,2.430944824E-1,8.012238464E0
5.773880836E-1,2.602787476E0,1.354682922E-1,7.767198029E0
5.973060834E-1,2.974913635E0,-2.095642090E-2,7.785460052E0
6.172220837E-1,3.059188385E0,-6.227050781E-2,7.934400330E0
6.371390834E-1,2.800975342E0,-8.906478882E-2,8.046816559E0
6.570560834E-1,2.579136658E0,-4.685256958E-2,8.063432007E0
6.769730835E-1,2.458038483E0,-7.035369873E-3,8.247848511E0
6.968900836E-1,2.466271362E0,-2.155517578E-2,8.583300934E0
7.168070837E-1,2.646346893E0,-1.490899658E-1,8.751101990E0
7.367240833E-1,3.063529358E0,-1.451980591E-1,8.896000671E0
7.566410834E-1,3.582649841E0,1.413061523E-1,9.134305115E0
7.765580835E-1,3.861819305E0,1.947450256E-1,9.349856873E0
7.964750836E-1,3.871549072E0,4.450245667E-1,9.567953339E0
8.163920837E-1,3.903432770E0,1.102906494E0,1.006012985E1
8.363090833E-1,3.617377625E0,1.751807098E0,1.029529083E1
8.562260834E-1,3.360511780E0,2.581082611E0,1.056847275E1
8.761430834E-1,3.165467377E0,2.895877991E0,1.047551605E1
8.960600835E-1,3.082090759E0,2.710263977E0,1.069915100E1
9.159770836E-1,3.394491119E0,2.590812378E0,1.088835754E1
9.358940837E-1,3.713477783E0,2.439177704E0,1.134670441E1
9.558110833E-1,3.074007568E0,2.269879761E0,1.134805161E1
9.757280834E-1,2.008523254E0,2.105970612E0,1.090242828E1
9.956450835E-1,1.523382111E0,2.088906097E0,1.083357147E1
1.015562084E0,1.005758514E0,2.171534271E0,1.096604599E1
1.035479084E0,1.031804352E0,2.234104156E0,1.081126785E1
1.055396083E0,1.210682373E0,2.161355438E0,1.033001862E1
1.075313083E0,1.338666229E0,2.039508820E0,9.689949646E0
