"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.064429199E-2,-3.758716431E2,6.725020752E2,-6.952636719E0
3.056129161E-2,-3.761689453E2,6.722347412E2,-7.161773682E0
5.047729192E-2,-3.764107056E2,6.724196777E2,-7.415237427E0
7.039429201E-2,-3.763928223E2,6.725248413E2,-7.338302612E0
9.031129163E-2,-3.766388550E2,6.724749756E2,-7.813827515E0
1.102282917E-1,-3.770198975E2,6.722720337E2,-7.035766602E0
1.301452918E-1,-3.763823853E2,6.724436646E2,-7.412368774E0
1.500622919E-1,-3.762468872E2,6.725087891E2,-8.084884644E0
1.699792920E-1,-3.767906494E2,6.724293823E2,-8.705764771E0
1.898962921E-1,-3.768312988E2,6.721640015E2,-8.311447144E0
2.098132917E-1,-3.765115356E2,6.724331665E2,-7.880493164E0
2.297302918E-1,-3.767601929E2,6.725819092E2,-8.599807739E0
2.496472918E-1,-3.765617676E2,6.728151245E2,-7.877319336E0
2.695642919E-1,-3.771924438E2,6.731501465E2,-8.430847168E0
2.894812920E-1,-3.773905640E2,6.735515137E2,-8.780197144E0
3.093982916E-1,-3.774752808E2,6.736271362E2,-8.451690674E0
3.293152917E-1,-3.772578125E2,6.737894287E2,-9.165328979E0
3.492322918E-1,-3.772522583E2,6.742443848E2,-8.497650146E0
3.691492919E-1,-3.770703735E2,6.740067139E2,-9.385025024E0
3.890662920E-1,-3.770452881E2,6.740559692E2,-9.628097534E0
4.089832921E-1,-3.767374268E2,6.734572754E2,-9.390899658E0
4.289002917E-1,-3.765369873E2,6.732928467E2,-1.029344177E1
4.488172918E-1,-3.759174805E2,6.729983521E2,-9.671554565E0
4.687350835E-1,-3.755777588E2,6.730780029E2,-1.026667786E1
4.886520836E-1,-3.754723511E2,6.729477539E2,-1.029850769E1
5.085690836E-1,-3.753897095E2,6.729525757E2,-1.006895447E1
5.284860837E-1,-3.749761353E2,6.727276001E2,-1.002915955E1
5.484030833E-1,-3.744908447E2,6.728904419E2,-9.869598389E0
5.683200834E-1,-3.739685059E2,6.729149170E2,-9.912673950E0
5.882370835E-1,-3.733582153E2,6.727034912E2,-1.011894226E1
6.081540836E-1,-3.727186890E2,6.724427490E2,-9.663681030E0
