"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669864555726944E9,"2022-12-01 11:15:55.727 UTC+08:00"
"PAUSE",2.650966443750076E2,1.669864820818885E9,"2022-12-01 11:20:20.819 UTC+08:00"
