"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669863953035798E9,"2022-12-01 11:05:53.036 UTC+08:00"
"PAUSE",1.294670261247084E2,1.669864082500527E9,"2022-12-01 11:08:02.501 UTC+08:00"
